TailNumbers,reg_owner_name,model,type_aircraft,manufacturing_name,state,category,Aircraft_Age,LandingGear
N4247V,MIDWEST TRUXTON INTERNATIONAL INC,S-58JT,Rotorcraft,SIKORSKY,ILLINOIS,Transport,No information,
N402MA,MINUTEMAN AVIATION INC,407,Rotorcraft,BELL HELICOPTER TEXTRON CANADA,MONTANA,Normal,15,
N526MW,MOUNTAIN WEST HELICOPTERS LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,UTAH,Normal,29,
N21CG,N21CG LEASING LLC,B200,Fixed Wing Multi-Engine,BEECH,OKLAHOMA,Normal,34,D
N353RC,N353RC LLC,UH-1H,Rotorcraft,BELL,WASHINGTON,"Other,Forest, Agriculture and Pest Control",No information,
N477NA,NEPTUNE AVIATION SERVICES,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,MONTANA,Transport,35,D
N122HP,NEPTUNE AVIATION SERVICES,P2V-7,,LOCKHEED,,None,No information,
N128HP,NEPTUNE AVIATION SERVICES,P2V-7,,LOCKHEED,,None,No information,
N2216S,NEPTUNE AVIATION SERVICES,P2V-7,,LOCKHEED,,None,No information,
N2218Q,NEPTUNE AVIATION SERVICES,P2V-7,,LOCKHEED,,None,No information,
N471NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200,Fixed Wing Multi-Engine,BRITISH AEROSPACE,MONTANA,None,No information,D
N470NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,MONTANA,Transport,37,D
N478NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,MONTANA,Transport,36,D
N476NA,NEPTUNE AVIATION SERVICES INC,BAE 146,Fixed Wing Multi-Engine,BRITISH AEROSPACE,MONTANA,Transport,32,D
N472NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,MONTANA,Transport,34,D
N475NA,NEPTUNE AVIATION SERVICES INC,BAE 146,Fixed Wing Multi-Engine,BRITISH AEROSPACE,MONTANA,Transport,32,D
N474NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,MONTANA,Normal,No information,D
N473NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,MONTANA,Transport,38,D
N1386C,NEPTUNE AVIATION SERVICES INC,P2V-5,Fixed Wing Multi-Engine,LOCKHEED,MONTANA,Forest,69,
N2218E,NEPTUNE AVIATION SERVICES INC,P2V-7,,LOCKHEED,,None,No information,
N301TS,NEPTUNE AVIATION SERVICES INC,B100,Fixed Wing Multi-Engine,BEECH,MONTANA,Normal,44,D
N410NA,NEPTUNE AVIATION SERVICES INC,P2V-5F,Fixed Wing Multi-Engine,LOCKHEED,MONTANA,Forest,69,
N480NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,MONTANA,None,No information,D
N485AS,NEPTUNE AVIATION SERVICES INC,FALCON 10,Fixed Wing Multi-Engine,DASSAULT-BREGUET,MONTANA,Transport,35,D
N110NW,OLYMPIC JET INC,UH-1H,Rotorcraft,BELL,WASHINGTON,"Other,Forest, Agriculture and Pest Control",57,
N141FA,ORANGE COUNTY FIRE AUTHORITY,412EP,Rotorcraft,BELL HELICOPTER TEXTRON CANADA,CALIFORNIA,Transport,15,
