Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Schedule,"Runway ID",Length,Width,"Surface Type Condition","Edge Light Intensity","WBC Single","WBC Dual","WBC Two Dual","WBC Tandem Two Dual","Base Marking Condition"
HNL,021-19-04.1400N,157-55-12.8200W,ALL/ALL/ALL,04L/22R,6955,150,ASPH-F,HIGH,100,200,400,850,G
ITO,019-43-12.9500N,155-02-54.4900W,ALL/ALL/0700-2030,03/21,5600,150,ASPH-F,MED,75,80,140,410,F
ITO,019-43-12.9500N,155-02-54.4900W,ALL/ALL/0700-2030,08/26,9800,150,ASPH-G,HIGH,75,250,350,850,G
OGG,020-53-55.1300N,156-25-49.6500W,ALL/ALL/ALL,H1,125,125,ASPH-G,,,,,,
OGG,020-53-55.1300N,156-25-49.6500W,ALL/ALL/ALL,02/20,6998,150,ASPH-G,HIGH,130,170,360,750,G
OGG,020-53-55.1300N,156-25-49.6500W,ALL/ALL/ALL,05/23,4980,150,ASPH-G,MED,130,170,270,,G
DBQ,042-24-07.2000N,090-42-34.1000W,ALL/ALL/0600-2200,18/36,6327,150,CONC-G,HIGH,75,173,275,,G
DBQ,042-24-07.2000N,090-42-34.1000W,ALL/ALL/0600-2200,13/31,6502,100,CONC-G,HIGH,75,125,215,,G
BOI,043-33-51.7000N,116-13-22.3000W,ALL/ALL/ALL,10R/28L,9763,150,ASPH-G,HIGH,100,210,430,994,G
BOI,043-33-51.7000N,116-13-22.3000W,ALL/ALL/ALL,10L/28R,10000,150,ASPH-G,HIGH,100,210,446,947,G
65S,048-43-33.5000N,116-17-42.6000W,ALL/SAT/0800-1600,02/20,4002,75,ASPH-G,MED,25,,,,G
65S,048-43-33.5000N,116-17-42.6000W,ALL/MON-FRI/0800-1700,02/20,4002,75,ASPH-G,MED,25,,,,G
LLJ,044-31-24.9800N,114-13-04.5800W,ALL/MON-FRI/0700-1700,17/35,4601,60,ASPH-E,MED,30,,,,G
COE,047-46-27.5000N,116-49-10.5000W,ALL/ALL/0700-1700,06/24,7400,100,ASPH-G,HIGH,57,95,165,,G
COE,047-46-27.5000N,116-49-10.5000W,ALL/ALL/0700-1700,02/20,5400,75,ASPH-G,MED,50,83,150,,G
SUN,043-30-13.6100N,114-17-44.0100W,ALL/ALL/0700-2300,13/31,7550,100,ASPH-G,HIGH,65,95,150,,G
GIC,045-56-33.6000N,116-07-22.9000W,UNATNDD,08/26,5101,75,ASPH-E,MED,75,95,145,,G
