Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator
1AR0,UNATNDD,AIRPORT,
17AR,UNATNDD,AIRPORT,Y
AR43,UNATNDD,AIRPORT,Y
39AR,UNATNDD,AIRPORT,Y
18AR,UNATNDD,AIRPORT,Y
2AR0,UNATNDD,AIRPORT,
AR17,IREG,AIRPORT,
51AR,UNATNDD,AIRPORT,
37T,UNATNDD,AIRPORT,Y-L
AR06,UNATNDD,AIRPORT,
4M3,UNATNDD,AIRPORT,Y-L
4M1,"ALL/WED - SUN/0800-1700",AIRPORT,Y-L
25AR,UNATNDD,AIRPORT,Y
AR03,UNATNDD,AIRPORT,
1AR5,UNATNDD,AIRPORT,
AR61,UNATNDD,HELIPORT,
11AR,UNATNDD,HELIPORT,
AR91,ALL/ALL/ALL,AIRPORT,Y
4M8,ALL/MON-FRI/0800-1700,AIRPORT,Y
H35,ALL/ALL/DALGT,AIRPORT,Y-L
23AR,UNATNDD,AIRPORT,Y
CCA,ALL/MON-FRI/0800-1700,AIRPORT,Y
01AR,UNATNDD,HELIPORT,
CXW,ALL/ALL/0800-1800,AIRPORT,Y-L
4AR3,UNATNDD,HELIPORT,Y
4M9,ALL/SAT/0800-1200,AIRPORT,Y-L
4M9,ALL/MON-FRI/0700-1900,AIRPORT,Y-L
4M9,ALL/SUN/UNATTNDD,AIRPORT,Y-L
1AR9,ALL/ALL/ALL,AIRPORT,Y
AR74,UNATNDD,HELIPORT,
5M5,UNATNDD,AIRPORT,Y-L
3AR6,UNATNDD,AIRPORT,Y
06AR,UNATNDD,AIRPORT,Y
3AR3,UNATNDD,AIRPORT,
6AR0,UNATNDD,AIRPORT,
7AR5,UNATNDD,HELIPORT,
32A,UNATNDD,AIRPORT,Y-L
AR32,UNATNDD,HELIPORT,
2AR2,UNATNDD,AIRPORT,
36AR,UNATNDD,AIRPORT,
DRP,UNATNDD,AIRPORT,Y-L
4M5,UNATTENDED,AIRPORT,Y
AR59,UNATNDD,HELIPORT,Y
5M1,MAR-AUG/SAT/0700-1200,AIRPORT,Y-L
5M1,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
ADF,"ALL/M - F/0700-1730",AIRPORT,Y-L
1AR6,UNATNDD,AIRPORT,Y
73AR,UNATNDD,AIRPORT,
FYV,ALL/MON-FRI/0600-2200,AIRPORT,Y-L
FYV,ALL/SAT-SUN/0800-2000,AIRPORT,Y-L
AR85,ALL/ALL/ALL,HELIPORT,
6AR1,UNATNDD,AIRPORT,
F43,ALL/MON-FRI/0800-1700,AIRPORT,Y
2AR1,UNATTND,AIRPORT,Y
0AR9,UNATNDD,HELIPORT,Y
AR53,ALL/ALL/ALL,HELIPORT,Y
AR79,ALL/MON-FRI/0800-1700,AIRPORT,Y
AR08,UNATNDD,ULTRALIGHT,
AR44,UNATNDD,AIRPORT,Y
26AR,UNATNDD,AIRPORT,
5M4,UNATNDD,AIRPORT,Y-L
AR72,UNATNDD,HELIPORT,
FSM,ALL/ALL/ALL,AIRPORT,Y-L
79AR,UNATNDD,AIRPORT,Y
M36,MAR-SEP/MON-SAT/0800-1700,AIRPORT,Y-L
M36,OCT-FEB/MON-FRI/0800-1700,AIRPORT,Y-L
3AR0,UNATNDD,AIRPORT,Y
AR68,UNATNDD,HELIPORT,
94AR,ALL/ALL/DAWN-DUSK,AIRPORT,
3M0,"ALL/ALL/0630 - 2100",AIRPORT,Y
12AR,UNATNDD,AIRPORT,
AR09,UNATNDD,AIRPORT,
AR30,ALL/ALL/ALL,HELIPORT,Y
AR10,UNATNDD,AIRPORT,Y
24AR,UNATNDD,AIRPORT,
5M8,UNATNDD,AIRPORT,Y-L
43AR,UNATNDD,AIRPORT,
7AR0,UNATNDD,AIRPORT,Y
0R6,UNATNDD,AIRPORT,Y
CDH,ALL/ALL/UNATTENDED,AIRPORT,Y-L
6M0,ALL/ALL/DALGT,AIRPORT,Y-L
HBZ,ALL/ALL/0800-1700,AIRPORT,Y-L
16AR,UNATNDD,AIRPORT,
AR77,UNATNDD,HELIPORT,Y
28AR,UNATNDD,AIRPORT,
10AR,UNATNDD,AIRPORT,
3AR9,UNATNDD,AIRPORT,N
2A2,UNATTENDED,AIRPORT,Y-L
2A6,ALL/MON-SAT/0800-1700,AIRPORT,Y-L
AR33,UNATNDD,HELIPORT,Y
M18,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
6M2,UNATNDD,AIRPORT,Y-L
M77,UNATNDD,AIRPORT,Y-L
0AR8,UNATNDD,HELIPORT,Y-L
03AR,UNATNDD,HELIPORT,Y
H34,UNATNDD,AIRPORT,Y-L
FCY,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
52AR,UNATNDD,AIRPORT,
2AR9,UNATNDD,HELIPORT,
DEQ,UNATNDD,AIRPORT,Y-L
50AR,12/365/24,HELIPORT,
AR05,UNATNDD,AIRPORT,
76AR,UNATNDD,AIRPORT,Y
05XS,UNATNDD,AIRPORT,
AR02,UNATNDD,HELIPORT,Y
JBR,ALL/ALL/0600-2100,AIRPORT,Y-L
13AR,UNATNDD,HELIPORT,Y
5AR7,MAY-AUG/IREG/IREG,AIRPORT,Y
PGR,ALL/MON-FRI/0700-1600,AIRPORT,Y-L
4F7,UNATNDD,AIRPORT,Y-L
M32,ALL/MON-FRI/0700-1700,AIRPORT,Y-L
M32,ALL/SAT/0700-1200,AIRPORT,Y-L
AR89,UNATNDD,AIRPORT,Y
4AR5,UNATNDD,GLIDERPORT,Y
AR20,UNATNDD,HELIPORT,Y-L
LRF,ALL/ALL/ALL,AIRPORT,Y
56AR,UNATNDD,HELIPORT,
AR27,UNATNDD,AIRPORT,Y
40AR,UNATNDD,AIRPORT,Y
09AR,UNATNDD,HELIPORT,Y
M78,ALL/MON-FRI/0730-1630,AIRPORT,Y-L
MXA,ALL/ALL/DALGT,AIRPORT,Y-L
6M7,ALL/SAT/SR-1200,AIRPORT,Y-L
6M7,ALL/MON-FRI/DALGT,AIRPORT,Y-L
FLP,"MAY - OCT/MON-SAT/0900-1500",AIRPORT,Y-L
6M8,IREG,AIRPORT,Y-L
1AR4,UNATTND,AIRPORT,
2AR4,UNATNDD,AIRPORT,Y
12XS,ALL/ALL/IREG,AIRPORT,Y
AR12,UNATNDD,AIRPORT,Y
AR63,UNATNDD,HELIPORT,Y
7M1,"FEB - OCT/MON-FRI/0800-1700",AIRPORT,Y
5AR5,ALL/ALL/ALL,HELIPORT,Y-L
AR36,ALL/ALL/ALL,HELIPORT,N
42A,ALL/MON-SAT/DALGT,AIRPORT,Y-L
HOT,ALL/ALL/0500-2200,AIRPORT,Y-L
MEZ,ALL/ALL/DAWN-DUSK,AIRPORT,Y-L
AR41,ALL/ALL/ALL,HELIPORT,Y
AR21,ALL/ALL/ALL,HELIPORT,Y
53AR,UNATNDD,HELIPORT,Y-L
0AR2,ALL/ALL/DALGT,AIRPORT,
LLQ,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
07AR,ALL/ALL/0700-1800,AIRPORT,Y
BDQ,ALL/ALL/0800-1800,AIRPORT,Y-L
7M2,UNATNDD,AIRPORT,Y-L
02AR,UNATNDD,AIRPORT,Y
19AR,UNATNDD,AIRPORT,
AR60,ALL/ALL/ALL,HELIPORT,
M19,ALL/SAT/0800-1200,AIRPORT,Y-L
M19,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
AR80,ALL/ALL/ALL,HELIPORT,Y
ORK,ALL/ALL/0800-DUSK,AIRPORT,Y-L
XNA,ALL/ALL/ALL,AIRPORT,Y-L
27AR,UNATNDD,HELIPORT,
7M4,UNATNDD,AIRPORT,Y-L
AR42,ALL/ALL/ALL,HELIPORT,Y
AR11,UNATNDD,AIRPORT,
7M5,UNATTNDD,AIRPORT,Y-L
0AR4,UNATNDD,HELIPORT,
05AR,UNATNDD,AIRPORT,Y
7M6,UNATNDD,AIRPORT,Y-L
AR13,UNATNDD,AIRPORT,Y
AR46,ALL/MON-SAT/0900-1700,AIRPORT,Y
MPJ,UNATNDD,AIRPORT,Y
30AR,UNATNDD,AIRPORT,
AR73,UNATNDD,HELIPORT,
7M7,UNATNDD,AIRPORT,Y-L
AR66,UNATNDD,HELIPORT,
PBF,ALL/ALL/0800-1800,AIRPORT,Y-L
3AR1,UNATNDD,HELIPORT,
6AR9,UNATNDD,AIRPORT,Y
AR34,UNATNDD,AIRPORT,N
M70,ALL/ALL/0800-1700,AIRPORT,Y-L
AR88,UNATNDD,AIRPORT,Y
20AR,UNATNDD,AIRPORT,
AGO,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
70AR,UNATNDD,AIRPORT,
7M8,UNATNDD,AIRPORT,Y-L
4AR2,UNATNDD,AIRPORT,
0AR5,ALL/ALL/ALL,HELIPORT,Y-L
3AR2,ALL/ALL/ALL,AIRPORT,
3AR8,UNATNDD,AIRPORT,Y
ROG,ALL/MON-FRI/0400-2100,AIRPORT,Y-L
ROG,ALL/SAT-SUN/0700-1900,AIRPORT,Y-L
7AR3,UNATNDD,AIRPORT,
RUE,MAR-NOV/M-F/0730-1830,AIRPORT,Y-L
RUE,ALL/SAT-SUN/0800-1800,AIRPORT,Y-L
RUE,NOV-MAR/M-F/0730-1730,AIRPORT,Y-L
AR55,UNATNDD,AIRPORT,Y
7M9,UNATNDD,AIRPORT,Y-L
SUZ,ALL/MON-FRI/0800-1630,AIRPORT,Y-L
04AR,UNATNDD,HELIPORT,Y
8M2,UNATNDD,AIRPORT,Y
57AR,UNATTND,AIRPORT,
4A5,UNATNDD,AIRPORT,Y-L
SRC,ALL/ALL/0700-1800,AIRPORT,Y-L
CVK,ALL/MON-FRI/0800-1600,AIRPORT,Y-L
9M8,UNATNDD,AIRPORT,Y-L
4AR1,UNATNDD,AIRPORT,Y
49AR,UNATNDD,AIRPORT,Y
AR69,UNATNDD,HELIPORT,
55AR,UNATNDD,AIRPORT,Y
