Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator
DBQ,ALL/ALL/0600-2200,AIRPORT,Y-L
GCK,ALL/ALL/0700-2100,AIRPORT,Y-L
HUT,ALL/MON-FRI/0800-1800,AIRPORT,Y-L
HUT,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L
LBL,ALL/MON-FRI/0600-2000,AIRPORT,Y-L
LBL,ALL/SAT-SUN/0700-2000,AIRPORT,Y-L
EWK,ALL/ALL/0700-2300,AIRPORT,Y-L
TOP,ALL/ALL/0700-2100,AIRPORT,Y-L
ICT,ALL/ALL/ALL,AIRPORT,Y-L
AAO,ALL/ALL/ALL,AIRPORT,Y-L
IAB,ALL/ALL/ALL,AIRPORT,Y
BWG,ALL/ALL/ALL,AIRPORT,Y-L
FFT,ALL/MON-FRI/0700-2000,AIRPORT,Y
FFT,ALL/SAT-SUN/0900-1800,AIRPORT,Y
GLW,ALL/MON-SAT/0800-1700,AIRPORT,Y-L
LOZ,NOV-MAR/SAT-SUN/0800-1900,AIRPORT,Y
LOZ,APR-OCT/MON-FRI/0700-2000,AIRPORT,Y
LOZ,APR-OCT/SAT-SUN/0800-2000,AIRPORT,Y
LOZ,NOV-MAR/MON-FRI/0700-1900,AIRPORT,Y
2I0,ALL/MON-FRI/0700-1700,AIRPORT,Y-L
2I0,ALL/HOLIDAY/0800-1700,AIRPORT,Y-L
2I0,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L
M25,ALL/ALL/0700-1500,AIRPORT,Y-L
EKQ,ALL/MON-SAT/0830-1730,AIRPORT,Y-L
EKQ,ALL/SUN/UNATNDD,AIRPORT,Y-L
IOB,ALL/ALL/0800-1800,AIRPORT,Y-L
PAH,ALL/ALL/0500-1800,AIRPORT,Y-L
SJS,ALL/ALL/0800-DUSK,AIRPORT,Y-L
HUM,ALL/ALL/0600-1900,AIRPORT,Y-L
LFT,ALL/ALL/ALL,AIRPORT,Y-L
MLU,ALL/ALL/ALL,AIRPORT,Y-L
NEW,ALL/ALL/ALL,AIRPORT,Y-L
SHV,ALL/ALL/ALL,AIRPORT,Y-L
TVR,ALL/ALL/0700-1900,AIRPORT,Y-L
BGR,ALL/ALL/ALL,AIRPORT,Y-L
RKD,ALL/MON-FRI/0600-1700,AIRPORT,Y-L
SFM,OCT-MAY/ALL/0700-1700,AIRPORT,Y-L
SFM,JUN-SEPT/ALL/0700-1900,AIRPORT,Y-L
BWI,ALL/ALL/ALL,AIRPORT,Y-L
FDK,ALL/ALL/0700-2100++,AIRPORT,Y-L
AQW,ALL/ALL/0800-1630,AIRPORT,Y-L
OWD,"ALL/MON - FRI/0800-1700",AIRPORT,Y-L
GLR,MAY-OCT/ALL/0730-1800,AIRPORT,Y-L
GLR,NOV-APR/ALL/0630-1700,AIRPORT,Y-L
OZW,ALL/SAT-SUN/0800-1200,AIRPORT,Y-L
OZW,ALL/MON-FRI/0700-1700,AIRPORT,Y-L
LAN,ALL/ALL/ALL,AIRPORT,Y-L
SAW,ALL/ALL/0500-2000,AIRPORT,Y-L
OSC,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
OSC,"ALL/SAT-SUN/ON CALL",AIRPORT,Y-L
PLN,ALL/ALL/0600-2300,AIRPORT,Y-L
LWA,ALL/ALL/0900-1700,AIRPORT,Y-L
TVC,ALL/ALL/0400-0100,AIRPORT,Y-L
AIT,APR-OCT/ALL/0800-1700,AIRPORT,Y-L
AIT,NOV-MAR/MON-FRI/0900-1700,AIRPORT,Y-L
AUM,ALL/SAT/0800-1600,AIRPORT,Y-L
AUM,ALL/SUN/0900-1500,AIRPORT,Y-L
AUM,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
BJI,ALL/MON/0700-2100,AIRPORT,Y-L
BJI,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L
BJI,ALL/TUE-FRI/0600-2100,AIRPORT,Y-L
