Dep_Airport_ID,Runway_ID,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
SFO,01R/19L,8650,200,ASPH-G,HIGH,75,200,400,877,G
SFO,10L/28R,11870,200,ASPH-G,HIGH,75,200,400,877,G
SJC,12L/30R,11000,150,CONC-G,HIGH,220,250,605,,G
SJC,12R/30L,11000,150,CONC-G,HIGH,220,250,605,875,G
SBP,07/25,2500,100,ASPH-G,,12,12,,,G
SBP,11/29,6101,150,ASPH-G,HIGH,112,147,,,G
SNA,02L/20R,5700,150,ASPH-G,HIGH,70,200,300,,G
SNA,02R/20L,2886,75,ASPH-G,MED,25,60,,,G
SNA,20X,0,0,,,,,,,
SBA,15R/33L,4184,100,ASPH-G,MED,48,63,100,,G
SBA,07/25,6052,150,ASPH-G,HIGH,110,160,245,,G
SBA,15L/33R,4180,75,ASPH-G,,35,41,63,,G
SMX,12/30,8004,150,ASPH-G,HIGH,75,181,400,,G
SMX,02/20,5199,75,ASPH-G,,70,90,150,,G
STS,02/20,5202,100,ASPH-G,MED,109,154,254,,G
STS,14/32,6000,150,ASPH-G,HIGH,120,184,300,,G
MIT,08/26,3680,60,ASPH-G,,125,,,,G
MIT,12/30,4501,100,ASPH-G,MED,22,,,,G
MIT,17/35,2972,100,CONC-G,,25,30,,,G
TVL,18/36,8541,100,ASPH-E,MED,70,125,210,,G
SCK,11L/29R,10249,150,ASPH-G,HIGH,40,150,360,650,G
SCK,11R/29L,4448,75,ASPH-G,,12,,,,G
SCK,H1,70,70,CONC-G,,45,55,,,
TOA,11L/29R,5001,150,ASPH-CONC-F,MED,30,50,90,,F
TOA,11R/29L,3000,75,ASPH-CONC-F,MED,28,,,,F
TOA,H1,110,110,ASPH-G,PERI,,,,,
TRK,02/20,4654,75,ASPH-G,MED,35,50,,,G
TRK,11/29,7001,100,ASPH-G,MED,50,80,,,G
UKI,15/33,4423,150,ASPH-E,MED,28,,,,G
VNY,16R/34L,8001,150,ASPH-G,HIGH,90,120,210,,G
VNY,16L/34R,4013,75,ASPH-G,MED,14,,,,F
WVI,09/27,3998,98,ASPH-F,,45,65,,,F
WVI,02/20,4502,149,ASPH-E,MED,81,96,167,,G
ALS,02/20,8521,100,ASPH-G,HIGH,52,70,,,F
ASE,00X,0,0,,,,,,,
ASE,15/33,8006,100,ASPH-G,MED,80,100,160,,G
1V6,17/35,1800,35,TURF-GRVL-P,,,,,,
1V6,11/29,5399,75,ASPH-G,MED,26,26,,,F
COS,13/31,8270,150,ASPH-G,MED,120,171,279,691,G
COS,17L/35R,13500,150,CONC-G,HIGH,120,250,550,1120,G
COS,17R/35L,11022,150,ASPH-G,HIGH,120,250,550,1120,G
CEZ,03/21,7205,100,ASPH-G,MED,40,56,,,G
BJC,12R/30L,7002,75,ASPH-G,MED,47,61,,,F
BJC,12L/30R,9000,100,ASPH-G,HIGH,65,105,150,,F
BJC,03/21,3600,75,ASPH-F,MED,40,45,65,,F
APA,17R/35L,7001,75,ASPH-G,MED,30,,,,G
APA,H1,50,50,CONC-G,PERI,,,,,
APA,10/28,4800,75,ASPH-G,MED,12,,,,G
APA,17L/35R,10001,100,ASPH-G,MED,56,75,,,G
DRO,03/21,9201,150,ASPH-G,HIGH,95,150,210,,G
EGE,07/25,9000,150,ASPH-E,HIGH,75,140,255,,G
EGE,25X,0,0,,,,,,,
FNL,15/33,8500,100,ASPH-G,HIGH,50,65,130,,G
FNL,06/24,2189,40,ASPH-G,,,,,,G
FMM,14/32,5731,75,ASPH-G,MED,30,,,,G
FMM,08/26,2468,100,TURF-F,,,,,,
FMM,17/35,5216,80,TURF-DIRT-F,,,,,,
GNB,09/27,5001,75,ASPH-F,LOW,15,15,,,P
GJT,11/29,10503,150,ASPH-E,HIGH,110,180,260,,F
GJT,04/22,5501,75,ASPH-G,MED,26,26,,,F
HDN,10/28,10000,150,ASPH-G,HIGH,75,170,260,,G
MVI,16/34,2300,30,DIRT-F,,,,,,P
MVI,10/28,2100,50,DIRT-P,,,,,,P
MVI,02/20,5902,60,ASPH-F,MED,12,,,,F
MTJ,17/35,10000,150,ASPH-G,HIGH,75,190,265,,G
MTJ,13/31,7510,100,ASPH-G,HIGH,65,90,150,,G
PUB,08L/26R,4690,75,ASPH-G,MED,20,,,,G
PUB,17/35,8310,150,ASPH-G,MED,93,110,170,,G
PUB,08R/26L,10498,150,ASPH-G,HIGH,75,170,250,,G
RIL,08/26,7000,100,ASPH-G,HIGH,90,200,250,,G
SBS,14/32,4452,100,ASPH-G,HIGH,50,60,,,F
BDR,11/29,4759,150,ASPH-F,HIGH,30,108,,,F
BDR,06/24,4677,100,ASPH-E,HIGH,57,80,,,G
GON,05/23,5000,150,ASPH-G,HIGH,90,113,200,,G
GON,15/33,4000,96,ASPH-G,HIGH,90,113,,,G
BDL,15/33,6847,150,ASPH-E,HIGH,200,200,350,,G
BDL,06/24,9510,200,ASPH-E,HIGH,200,200,350,710,G
IAD,01R/19L,11500,150,CONC-G,HIGH,200,250,450,875,G
IAD,01C/19C,11500,150,CONC-E,HIGH,200,250,450,875,G
IAD,12/30,10501,150,CONC-G,HIGH,200,250,450,875,G
IAD,01L/19R,9400,150,CONC-E,HIGH,200,250,450,875,G
HEF,16L/34R,6200,100,ASPH-G,HIGH,50,140,,,G
HEF,16R/34L,3715,75,ASPH-E,MED,12,,,,G
BOW,09L/27R,5000,150,ASPH-G,MED,,,,,G
BOW,09R/27L,4400,150,ASPH-CONC-P,,,,,,G
BOW,05/23,5000,100,ASPH-P,MED,35,60,110,,G
BCT,05/23,6276,150,ASPH-G,MED,66,95,,,F
BKV,09/27,7001,150,CONC-G,MED,90,130,230,,G
BKV,03/21,5014,150,CONC-G,MED,50,75,135,,G
CLW,16/34,4108,75,ASPH-F,MED,,,,,F
CEW,17/35,8006,150,ASPH-F,HIGH,60,120,170,,G
FLL,10L/28R,9000,150,ASPH-CONC-E,HIGH,100,200,468,800,G
FLL,10R/28L,8000,150,CONC-E,HIGH,120,247,461,987,G
FXE,13/31,4000,100,ASPH-G,MED,30,60,,,G
FXE,09/27,6002,100,ASPH-G,HIGH,56,81,,,G
RSW,06/24,12000,150,ASPH-F,HIGH,120,250,538,1045,G
FPR,10R/28L,6492,150,ASPH-F,MED,50,110,230,,G
FPR,14/32,4755,100,ASPH-E,MED,15,,,,G
FPR,10L/28R,4000,75,ASPH-G,MED,15,,,,G
JAX,14/32,7701,150,CONC-G,HIGH,120,250,480,1000,G
JAX,08/26,10000,150,CONC-G,HIGH,120,250,485,1005,F
VQQ,09R/27L,8003,200,ASPH-CONC-G,HIGH,,,,,F
VQQ,09L/27R,4439,200,ASPH-CONC-G,,,,,,G
VQQ,H1,70,70,CONC-G,,,,,,G
VQQ,H2,70,70,CONC-G,,,,,,G
VQQ,18L/36R,12503,200,ASPH-CONC-G,HIGH,,,,,G
VQQ,18R/36L,8002,200,ASPH-CONC-P,,,,,,F
CRG,14/32,4008,100,ASPH-E,HIGH,30,,,,F
CRG,05/23,4004,100,ASPH-F,MED,30,,,,F
EYW,09/27,5076,100,ASPH-E,MED,75,125,195,,F
LCQ,10/28,8003,150,ASPH-E,MED,75,105,250,,G
LCQ,05/23,4000,75,ASPH-E,MED,,,,,G
LAL,05/23,5000,150,ASPH-F,HIGH,94,150,,,G
LAL,08/26,2208,60,TURF-F,,,,,,G
LAL,10/28,8500,150,ASPH-E,HIGH,50,250,550,1120,G
MKY,17/35,5000,100,ASPH-G,MED,75,108,,,F
MLB,09L/27R,6000,150,ASPH-E,MED,60,60,,,G
MLB,05/23,3001,75,ASPH-E,MED,26,,,,G
MLB,09R/27L,10181,150,ASPH-E,HIGH,100,165,300,,G
MIA,09/27,13016,150,ASPH-G,HIGH,130,210,420,850,G
MIA,08L/26R,8600,150,ASPH-G,HIGH,130,210,420,850,G
MIA,08R/26L,10506,200,ASPH-G,HIGH,130,210,420,850,G
MIA,12/30,9360,150,ASPH-G,HIGH,130,210,420,850,G
2R4,18/36,3701,75,ASPH-G,MED,22,,,,F
APF,NE/SW,1850,100,TURF-G,,,,,,G
APF,14/32,5001,100,ASPH-G,MED,,75,,,F
APF,05/23,6600,150,ASPH-F,MED,,75,,,G
EVB,02/20,4000,100,ASPH-P,,55,,,,G
EVB,07/25,5000,75,ASPH-G,MED,55,,,,F
EVB,11/29,4319,75,ASPH-G,MED,55,,,,F
OCF,18/36,7467,150,ASPH-G,HIGH,111,181,328,,F
OCF,08/26,3009,50,ASPH-G,,30,,,,F
ISM,15/33,6001,100,ASPH-G,MED,114,189,300,,G
ISM,06/24,5001,100,ASPH-G,MED,89,140,,,F
MCO,17L/35R,9001,150,CONC-G,HIGH,75,210,420,900,G
MCO,17R/35L,10000,150,CONC-G,HIGH,75,210,400,,G
MCO,18L/36R,12005,200,ASPH-CONC-G,HIGH,165,200,400,,G
MCO,18R/36L,12004,200,ASPH-CONC-G,HIGH,100,200,400,,G
ORL,13/31,4625,100,ASPH-F,HIGH,35,60,,,F
ORL,07/25,6004,150,ASPH-F,HIGH,45,100,115,,G
ECP,16/34,10000,150,CONC-E,HIGH,100,155,400,750,G
SRQ,04/22,5006,150,ASPH-G,HIGH,120,219,404,,F
SRQ,14/32,9500,150,ASPH-F,HIGH,118,196,358,,F
SUA,16/34,5000,100,ASPH-E,,55,90,160,,G
SUA,07/25,4653,100,ASPH-F,MED,58,95,170,,G
SUA,12/30,5828,100,ASPH-G,MED,65,105,190,,G
TLH,09/27,8000,150,ASPH-G,HIGH,115,170,330,,G
TLH,18/36,7000,150,ASPH-P,HIGH,115,170,330,,F
X21,04/22,1805,100,TURF-G,,,,,,G
X21,15/33,2961,70,ASPH-G,MED,12,,,,G
TIX,18/36,7319,150,ASPH-F,HIGH,80,110,190,,F
TIX,09/27,5000,100,ASPH-E,MED,50,80,,,F
VNC,05/23,5000,150,ASPH-G,MED,75,108,,,G
VNC,13/31,5640,150,ASPH-G,MED,75,108,,,G
X60,05/23,6669,100,CONC-G,HIGH,72,95,160,,F
X60,18/36,2051,60,TURF-F,,,,,,F
X60,14/32,4979,60,ASPH-G,MED,38,,,,F
AHN,02/20,3995,100,ASPH-F,MED,40,45,,,P
AHN,09/27,6122,100,ASPH-E,HIGH,65,125,,,G
FFC,H1,40,40,ASPH-E,,,,,,
FFC,13/31,5768,100,ASPH-G,MED,48,60,,,F
RYY,09/27,6295,100,CONC-G,HIGH,,,,,G
PDK,03L/21R,3746,150,ASPH-F,MED,20,,,,G
PDK,03R/21L,6001,100,CONC-G,HIGH,46,75,,,G
PDK,16/34,3968,150,ASPH-F,MED,20,,,,F
PDK,H1,56,56,CONC-G,PERI,,,,,
DNL,11/29,3733,100,ASPH-G,MED,30,,,,G
DNL,05/23,4002,100,ASPH-G,MED,30,,,,G
AGS,17/35,8001,150,CONC-G,HIGH,155,160,450,975,G
AGS,08/26,6002,75,ASPH-E,MED,52,71,126,,G
18A,08/26,5000,75,ASPH-G,MED,15,,,,G
CNI,05/23,5003,75,ASPH-G,MED,26,,,,G
CTJ,17/35,5503,100,ASPH-G,HIGH,43,56,83,,G
48A,11/29,4400,75,ASPH-G,MED,,,,,G
48A,05/23,3202,50,ASPH-F,,25,,,,G
