Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator,Runway_ID,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
SJC,ALL/ALL/ALL,AIRPORT,Y-L,12R/30L,11000,150,CONC-G,HIGH,220,250,605,875,G
SBP,ALL/ALL/0600-1700,AIRPORT,Y-L,07/25,2500,100,ASPH-G,,12,12,,,G
SBP,ALL/ALL/0600-1700,AIRPORT,Y-L,11/29,6101,150,ASPH-G,HIGH,112,147,,,G
SNA,ALL/ALL/ALL,AIRPORT,Y-L,02L/20R,5700,150,ASPH-G,HIGH,70,200,300,,G
SNA,ALL/ALL/ALL,AIRPORT,Y-L,02R/20L,2886,75,ASPH-G,MED,25,60,,,G
SBA,ALL/ALL/0600-2300,AIRPORT,Y-L,15R/33L,4184,100,ASPH-G,MED,48,63,100,,G
SBA,ALL/ALL/0600-2300,AIRPORT,Y-L,07/25,6052,150,ASPH-G,HIGH,110,160,245,,G
SBA,ALL/ALL/0600-2300,AIRPORT,Y-L,15L/33R,4180,75,ASPH-G,,35,41,63,,G
SMX,ALL/ALL/0600-2200,AIRPORT,Y-L,12/30,8004,150,ASPH-G,HIGH,75,181,400,,G
SMX,ALL/ALL/0600-2200,AIRPORT,Y-L,02/20,5199,75,ASPH-G,,70,90,150,,G
STS,ALL/ALL/0600-2200,AIRPORT,Y-L,02/20,5202,100,ASPH-G,MED,109,154,254,,G
STS,ALL/ALL/0600-2200,AIRPORT,Y-L,14/32,6000,150,ASPH-G,HIGH,120,184,300,,G
MIT,ALL/MON-FRI/0800-1700,AIRPORT,Y-L,08/26,3680,60,ASPH-G,,125,,,,G
MIT,ALL/MON-FRI/0800-1700,AIRPORT,Y-L,12/30,4501,100,ASPH-G,MED,22,,,,G
MIT,ALL/MON-FRI/0800-1700,AIRPORT,Y-L,17/35,2972,100,CONC-G,,25,30,,,G
TVL,"ALL/ /0700-1600",AIRPORT,Y-L,18/36,8541,100,ASPH-E,MED,70,125,210,,G
SCK,ALL/ALL/ALL,AIRPORT,Y-L,11L/29R,10249,150,ASPH-G,HIGH,40,150,360,650,G
SCK,ALL/ALL/ALL,AIRPORT,Y-L,11R/29L,4448,75,ASPH-G,,12,,,,G
SCK,ALL/ALL/ALL,AIRPORT,Y-L,H1,70,70,CONC-G,,45,55,,,
TOA,ALL/ALL/0600-2200,AIRPORT,Y-L,11L/29R,5001,150,ASPH-CONC-F,MED,30,50,90,,F
TOA,ALL/ALL/0600-2200,AIRPORT,Y-L,11R/29L,3000,75,ASPH-CONC-F,MED,28,,,,F
TRK,ALL/ALL/0700-2130,AIRPORT,Y-L,02/20,4654,75,ASPH-G,MED,35,50,,,G
TRK,ALL/ALL/0700-2130,AIRPORT,Y-L,11/29,7001,100,ASPH-G,MED,50,80,,,G
UKI,MAY/SAT-SUN/0930-1930,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,MAY/MON-FRI/0800-1930,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,DEC-APR/ALL/0800-1730,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,NOV/ALL/0800-1800,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,OCT/ALL/0800-1930,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,SEP/SAT-SUN/0930-2000,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,SEP/MON-FRI/0800-2000,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,JUL-AUG/SAT-SUN/1000-2030,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,JUL-AUG/MON-FRI/0800-2030,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,JUN/SAT-SUN/0930-2000,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
UKI,JUN/MON-FRI/0800-2000,AIRPORT,Y-L,15/33,4423,150,ASPH-E,MED,28,,,,G
VNY,ALL/ALL/ALL,AIRPORT,Y-L,16R/34L,8001,150,ASPH-G,HIGH,90,120,210,,G
VNY,ALL/ALL/ALL,AIRPORT,Y-L,16L/34R,4013,75,ASPH-G,MED,14,,,,F
WVI,ALL/ALL/0900-1700,AIRPORT,Y-L,09/27,3998,98,ASPH-F,,45,65,,,F
WVI,ALL/ALL/0900-1700,AIRPORT,Y-L,02/20,4502,149,ASPH-E,MED,81,96,167,,G
ALS,ALL/ALL/0800-1930,AIRPORT,Y-L,02/20,8521,100,ASPH-G,HIGH,52,70,,,F
ASE,ALL/ALL/0700-2300,AIRPORT,Y-L,15/33,8006,100,ASPH-G,MED,80,100,160,,G
1V6,ALL/ALL/0800-1700,AIRPORT,Y-L,11/29,5399,75,ASPH-G,MED,26,26,,,F
COS,ALL/ALL/ALL,AIRPORT,Y,13/31,8270,150,ASPH-G,MED,120,171,279,691,G
COS,ALL/ALL/ALL,AIRPORT,Y,17L/35R,13500,150,CONC-G,HIGH,120,250,550,1120,G
COS,ALL/ALL/ALL,AIRPORT,Y,17R/35L,11022,150,ASPH-G,HIGH,120,250,550,1120,G
