airport_numbers,near_by_airport1,near_by_airport2,near_by_airport3
TUL,KRVS,KOWP,KGCM
TUS,KDMA,KRYN,KAVQ
TVC,KACB,KFKS,KCAD
TVL,KMEV,KCXP,KTRK
TVR,KVKS,KJVW,M79
TWF,KJER,KGNG,KBYI
TWM,KDLH,KDYT,KSUW
TXK,M18,KATA,M77
TYS,KDKX,KGKT,KMNV
U10,KLGU,1U7,KBMC
U42,KSLC,KTVY,KPVU
UAO,KMMV,KHIO,KPDX
UBW,nan,nan,nan
UGN,KENW,C81,KPWK
UHPP,nan,nan,nan
UKI,1O2,O28,O60
UNI,3I2,KJRO,KGAS
UNV,N96,KPSB,KRVL
UOX,KPMU,M41,M72
UVA,KHDO,T30,KCZT
VCT,KPKV,26R,T85
VDI,KRVJ,KMHP,KAZE
VDZ,PAKA,PACV,PAGK
VEL,74V,4V0,U69
VGT,KLSV,KLAS,KHND
VIH,KUBX,KTBN,KUUV
VKS,KTVR,KJVW,M11
VNC,FA54,KSRQ,KPGD
VNY,KWHP,KBUR,KSMO
VQQ,KHEG,KNIP,KJAX
VUO,KPDX,KTTD,KSPB
WDR,D73,KJCA,KLZU
WHP,KBUR,KVNY,KSMO
WJF,KPMD,KEDW,KMHV
WRG,nan,nan,nan
WVI,E16,KOAR,KCVH
WWD,KOBI,26N,KMIV
WYS,KEKS,KDIJ,KRXE
X21,KTIX,KTTS,KXMR
X60,KOCF,X35,KGNV
XBP,KLUD,4T2,0F2
XWA,S25,D60,KSDY
Y51,KCMY,KLSE,KCHU
YAK,nan,nan,nan
YKM,KELN,KEAT,KRLD
YKN,0B4,KVMR,6K3
