Dep_Airport_ID,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
SMN,17/35,1,5510,75,ASPH-G,MED,12,,,,G
SZT,02/20,1,5501,75,ASPH-G,MED,40,,,,G
TWF,08/26,2,8704,150,ASPH-G,HIGH,75,200,250,,G
TWF,12/30,2,3224,75,ASPH-F,,19,,,,G
CPS,05/23,3,2799,75,ASPH-F,MED,12,,,,F
CPS,12L/30R,3,5301,75,CONC-F,MED,30,30,,,F
CPS,12R/30L,3,7002,150,ASPH-E,HIGH,65,95,175,,G
UGN,05/23,2,6001,150,ASPH-G,HIGH,95,120,200,,G
UGN,14/32,2,3750,75,ASPH-G,MED,16,23,,,G
DPA,02R/20L,4,6451,100,CONC-G,MED,30,45,,,G
DPA,15/33,4,3399,100,ASPH-G,MED,30,45,100,,G
DPA,10/28,4,4750,75,ASPH-G,HIGH,30,45,,,G
DPA,02L/20R,4,7571,150,CONC-G,HIGH,30,45,,,G
MLI,05/23,3,3515,150,CONC-G,MED,60,75,120,,F
MLI,09/27,3,10002,150,CONC-G,HIGH,100,173,353,,G
MLI,13/31,3,7301,150,ASPH-CONC-G,HIGH,60,140,200,,G
PIA,13/31,2,10104,150,CONC-G,HIGH,100,175,310,,G
PIA,04/22,2,8004,150,ASPH-F,HIGH,100,175,300,,F
RFD,07/25,2,10002,150,ASPH-CONC-G,HIGH,100,190,360,850,G
RFD,01/19,2,8200,150,ASPH-CONC-G,HIGH,100,210,390,850,G
SPI,13/31,2,7400,150,ASPH-F,HIGH,70,90,160,,G
SPI,04/22,2,8001,150,CONC-F,HIGH,100,200,350,,G
BAK,05/23,2,6401,150,CONC-E,HIGH,75,130,200,,G
BAK,14/32,2,5000,100,CONC-E,MED,120,171,290,735,G
EVV,04/22,3,8021,150,ASPH-G,HIGH,100,175,300,,G
EVV,09/27,3,3497,75,ASPH-G,MED,30,40,60,,G
EVV,18/36,3,6286,150,ASPH-G,HIGH,100,175,300,,G
GYY,02/20,2,3604,100,ASPH-F,MED,18,28,,,F
GYY,12/30,2,8859,150,CONC-G,HIGH,75,157,175,250,G
HFY,01/19,1,5102,75,ASPH-E,MED,,,,,G
IND,05L/23R,3,11200,150,CONC-G,HIGH,145,300,550,,G
IND,05R/23L,3,10000,150,CONC-G,HIGH,145,300,550,,G
IND,14/32,3,7278,150,ASPH-G,HIGH,145,300,550,,G
LAF,10/28,2,6600,150,ASPH-G,HIGH,90,110,165,,F
LAF,05/23,2,4225,100,ASPH-G,MED,48,58,90,,F
RID,15/33,2,4999,100,ASPH-F,MED,30,40,60,,G
RID,06/24,2,5502,150,ASPH-E,MED,30,40,60,,G
DBQ,13/31,2,6502,100,CONC-G,HIGH,75,125,215,,G
DBQ,18/36,2,6327,150,CONC-G,HIGH,75,173,275,,G
GCK,17/35,2,7299,100,CONC-G,HIGH,76,91,125,,G
GCK,12/30,2,5700,100,CONC-G,MED,48,60,,,G
HUT,17/35,3,4012,75,CONC-E,MED,43,58,76,,G
HUT,13/31,3,7003,100,ASPH-E,HIGH,44,58,103,,F
HUT,04/22,3,4405,100,ASPH-F,MED,42,52,76,,G
LBL,17/35,2,7105,100,CONC-E,HIGH,80,100,,,G
LBL,04/22,2,5000,75,CONC-E,MED,30,60,,,G
EWK,17/35,2,7003,100,CONC-G,HIGH,50,75,135,,G
EWK,08/26,2,3501,60,ASPH-G,MED,13,,,,G
TOP,18/36,2,4331,75,ASPH-G,MED,60,80,96,,F
TOP,13/31,2,5099,100,ASPH-G,HIGH,50,72,110,,G
ICT,01R/19L,3,7302,150,CONC-G,HIGH,125,240,400,,G
ICT,14/32,3,6301,150,CONC-G,HIGH,100,190,280,,G
ICT,01L/19R,3,10302,150,CONC-G,HIGH,100,210,300,,G
AAO,18/36,1,6101,100,CONC-G,MED,40,62,,,G
IAB,01L/19R,2,12000,150,ASPH-CONC,HIGH,,,,,
IAB,01R/19L,2,12007,150,ASPH-F,HIGH,,,,,F
BWG,12/30,2,3956,150,ASPH-P,MED,25,40,,,G
BWG,03/21,2,6501,150,ASPH-G,HIGH,120,221,358,,F
FFT,07/25,1,5506,100,ASPH-G,MED,76,100,82,,G
GLW,08/26,1,5302,100,ASPH-G,MED,43,62,,,G
LOZ,06/24,1,5751,150,ASPH-G,MED,61,82,151,,G
2I0,05/23,1,6051,100,ASPH-F,HIGH,92,127,,,F
M25,01/19,1,5002,100,ASPH-F,MED,16,,,,P
EKQ,03/21,1,4000,75,ASPH-G,MED,12,,,,P
IOB,03/21,1,5000,75,ASPH-G,MED,20,,,,G
PAH,05/23,2,6500,150,ASPH-G,HIGH,76,99,170,,G
PAH,14/32,2,5499,150,ASPH-G,MED,75,100,170,,G
SJS,03/21,1,5000,100,ASPH-E,MED,19,,,,G
HUM,18/36,2,6508,150,CONC-G,MED,116,224,406,907,G
HUM,12/30,2,4999,185,CONC-G,MED,50,70,137,,G
LFT,11/29,3,5400,148,ASPH-G,MED,85,110,175,,G
LFT,04R/22L,3,8000,150,ASPH-G,HIGH,140,170,290,,G
LFT,04L/22R,3,4099,75,ASPH-F,MED,25,32,,,F
MLU,14/32,2,6301,150,ASPH-G,MED,75,170,290,,G
MLU,04/22,2,7504,150,ASPH-G,HIGH,75,170,290,,G
NEW,18L/36R,3,3697,75,ASPH-G,MED,35,55,80,,G
NEW,18R/36L,3,6879,150,ASPH-G,MED,60,175,200,350,G
NEW,09/27,3,3114,75,ASPH-F,MED,50,80,100,,G
SHV,14/32,2,8348,200,ASPH-E,HIGH,75,190,400,,G
SHV,06/24,2,7003,150,ASPH-E,MED,75,158,280,,G
TVR,18/36,1,5002,100,ASPH-G,MED,60,75,,,G
BGR,H1,2,100,100,CONC-G,,,,,,
BGR,15/33,2,11440,200,ASPH-G,HIGH,100,210,400,,G
RKD,03/21,2,4000,100,ASPH-G,MED,65,80,,,G
RKD,13/31,2,5412,100,ASPH-E,HIGH,65,80,,,G
SFM,07/25,2,6389,100,ASPH-G,HIGH,65,100,,,G
SFM,14/32,2,4999,100,ASPH-G,MED,,72,,,G
BWI,10/28,3,10503,150,ASPH-G,HIGH,80,220,1020,1340,G
BWI,15L/33R,3,5000,100,ASPH-F,HIGH,30,45,,,G
BWI,15R/33L,3,9501,150,ASPH-G,HIGH,80,220,675,890,G
FDK,12/30,2,3599,75,ASPH-G,MED,,,,,F
FDK,05/23,2,5819,100,ASPH-G,HIGH,60,,,,G
AQW,11/29,1,4300,100,ASPH-E,MED,25,,,,G
OWD,10/28,2,3995,75,ASPH-G,,58,69,,,G
OWD,17/35,2,4007,100,ASPH-G,MED,58,69,,,G
GLR,09/27,2,6579,150,ASPH-G,HIGH,,100,,,F
GLR,18/36,2,4200,75,ASPH-G,MED,12,,,,F
OZW,13/31,1,5002,100,CONC-G,HIGH,100,,,,F
LAN,10R/28L,3,8506,150,ASPH-G,HIGH,100,175,300,,G
LAN,06/24,3,5003,120,ASPH-F,MED,45,65,100,,G
LAN,10L/28R,3,3601,75,ASPH-F,,12,,,,F
SAW,01/19,1,9072,150,ASPH-G,HIGH,114,181,317,741,F
OSC,07/25,1,11800,200,ASPH-G,HIGH,155,330,550,,G
PLN,05/23,2,5401,150,ASPH-G,MED,76,115,215,,F
PLN,14/32,2,6513,150,ASPH-G,HIGH,76,115,215,,F
LWA,05/23,2,4800,75,ASPH-G,MED,12,,,,G
LWA,14/32,2,3260,190,TURF-F,,,,,,
TVC,10/28,2,7016,150,ASPH-F,HIGH,120,230,440,,G
TVC,18/36,2,5378,150,ASPH-F,MED,70,110,190,,G
AIT,08/26,2,3123,140,TURF-G,,,,,,
AIT,16/34,2,4000,75,ASPH-F,MED,12,,,,G
AUM,17/35,1,5800,100,CONC-G,HIGH,100,135,,,G
BJI,13/31,2,7004,150,ASPH-E,HIGH,75,200,,,G
BJI,07/25,2,5700,150,ASPH-E,MED,75,200,,,G
BRD,H1,3,60,60,CONC-G,PERI,,,,,G
BRD,05/23,3,6512,150,CONC-G,HIGH,75,125,220,,G
BRD,16/34,3,7100,150,CONC-E,HIGH,75,125,220,,G
COQ,18/36,2,4002,75,ASPH-F,MED,8,12,,,G
COQ,07/25,2,3100,75,ASPH-F,MED,,,,,G
DLH,03/21,2,5719,150,ASPH-G,MED,52,100,361,,G
DLH,09/27,2,10591,150,CONC-F,HIGH,94,180,650,,G
ELO,12/30,1,5596,100,ASPH-G,MED,99,159,,,G
GPZ,16/34,2,5756,100,ASPH-G,HIGH,23,38,78,,G
GPZ,05/23,2,3000,60,ASPH-G,MED,125,,,,G
HIB,13/31,2,6758,150,ASPH-E,HIGH,60,100,160,,G
HIB,04/22,2,3075,75,ASPH-E,,35,45,,,G
INL,04/22,2,2999,75,ASPH-F,,12,,,,F
INL,13/31,2,7400,150,ASPH-G,HIGH,100,125,190,,G
MKT,04/22,2,4000,75,ASPH-G,MED,18,25,,,G
MKT,15/33,2,6600,100,CONC-G,HIGH,60,120,155,237,G
MSP,12L/30R,4,8200,150,CONC-F,HIGH,100,200,400,850,G
MSP,12R/30L,4,10000,200,CONC-G,HIGH,100,200,400,850,G
MSP,17/35,4,8000,150,CONC-G,HIGH,100,200,400,850,G
MSP,04/22,4,11006,150,CONC-G,HIGH,100,200,400,850,G
ANE,18/36,2,4855,100,ASPH-G,MED,23,60,,,G
ANE,09/27,2,5000,100,ASPH-G,HIGH,23,60,,,G
FCM,10L/28R,3,3901,75,ASPH-F,MED,12,,,,G
FCM,10R/28L,3,5001,100,ASPH-G,HIGH,30,60,,,G
FCM,18/36,3,2690,75,ASPH-G,MED,12,,,,G
RST,02/20,2,7301,150,CONC-G,MED,100,175,300,,G
RST,13/31,2,9034,150,CONC-G,HIGH,100,175,300,,G
STP,09/27,3,3642,100,ASPH-G,MED,12,,,,G
STP,13/31,3,4004,150,ASPH-G,HIGH,97,135,228,,G
STP,14/32,3,6491,150,ASPH-G,HIGH,83,111,197,,G
SGS,16/34,1,4002,100,ASPH-G,MED,30,57,,,G
TWM,06/24,2,4400,75,ASPH-G,MED,,,,,F
TWM,15/33,2,2581,150,TURF-G,,,,,,
RRT,04/22,2,2987,150,TURF-G,,,,,,
RRT,13/31,2,5400,100,ASPH-G,HIGH,30,40,,,G
HSA,18/36,1,8498,150,ASPH-G,HIGH,,,472,955,P
GTR,18/36,1,8003,150,ASPH-G,HIGH,120,239,385,669,G
JAN,16L/34R,2,8500,150,ASPH-G,HIGH,75,200,390,850,G
JAN,16R/34L,2,8500,150,ASPH-E,HIGH,130,140,250,720,G
MEI,04/22,2,4599,150,ASPH-P,MED,78,118,211,,F
MEI,01/19,2,10003,150,ASPH-CONC-G,HIGH,120,250,550,,F
HEZ,18/36,2,5000,150,ASPH-P,MED,83,113,65,,P
HEZ,13/31,2,6500,150,ASPH-P,HIGH,50,78,172,,F
UOX,09/27,1,5600,100,ASPH-F,MED,38,55,90,,F
VKS,01/19,1,5001,100,ASPH-F,MED,30,50,90,,F
M17,18/36,1,4000,75,ASPH-E,MED,12,,,,G
BBG,14/32,1,7140,150,CONC-G,HIGH,75,200,350,700,G
CGI,10/28,2,6500,150,CONC-G,HIGH,93,125,215,,G
CGI,02/20,2,3997,100,ASPH-CONC-F,MED,45,60,100,,G
AIZ,04/22,1,6497,100,ASPH-G,MED,55,70,215,,F
MKC,01/19,2,6827,150,CONC-E,HIGH,86,171,342,,G
MKC,03/21,2,5050,100,ASPH-E,HIGH,48,73,136,,G
TKX,18/36,2,3012,75,ASPH-G,MED,10,,,,G
TKX,02/20,2,5000,75,CONC-G,MED,30,42,,,G
IRK,09/27,2,1370,100,TURF-G,,,,,,
IRK,18/36,2,6005,100,CONC-F,HIGH,30,48,85,,F
MBY,05/23,2,3350,60,CONC-E,MED,4,,,,G
MBY,13/31,2,5000,75,CONC-E,MED,30,38,,,G
VIH,13/31,2,5501,100,ASPH-F,MED,48,62,92,,F
VIH,04/22,2,5500,100,ASPH-E,MED,75,85,130,,G
SIK,03/21,1,5502,100,ASPH-G,MED,30,38,,,P
SGF,02/20,2,7003,150,CONC-G,HIGH,135,170,300,,G
SGF,14/32,2,8000,150,CONC-E,HIGH,135,170,300,,G
BHK,13/31,1,5904,75,ASPH-E,MED,20,26,,,G
6S0,06/24,2,5285,75,ASPH-G,MED,12,,,,G
6S0,18/36,2,3475,75,TURF-G,,,,,,
BIL,10R/28L,3,3800,75,ASPH-G,MED,12,,,,F
BIL,10L/28R,3,10518,150,ASPH-G,HIGH,120,214,365,,G
BIL,07/25,3,5501,75,ASPH-G,MED,12,,,,G
BZN,11/29,4,5050,75,ASPH-G,MED,12,,,,G
BZN,12/30,4,8994,150,ASPH-G,HIGH,120,250,550,1120,G
BZN,03/21,4,2650,75,ASPH-G,,12,,,,G
BZN,11G/29G,4,2802,80,TURF-G,,,,,,
8S0,06/24,1,4051,74,ASPH-G,MED,,,,,F
BTM,12/30,2,5100,75,ASPH-G,MED,12,,,,G
BTM,15/33,2,9000,150,ASPH-G,MED,60,125,175,,G
LTY,07/25,2,4607,75,ASPH-E,MED,12,,,,G
LTY,16/34,2,1710,60,TURF-F,,,,,,
6S3,10/28,1,3800,75,ASPH-E,MED,12,,,,G
CTB,14/32,2,5300,75,ASPH-E,MED,27,37,,,G
CTB,05/23,2,5300,75,ASPH-E,MED,27,37,,,G
38S,13/31,1,5800,75,ASPH-E,MED,50,75,,,G
DLN,17/35,2,6501,75,ASPH-E,MED,58,75,129,,G
DLN,04/22,2,3600,60,ASPH-E,MED,12,,,,G
GTF,17/35,2,6030,150,ASPH-G,MED,87,140,245,245,G
GTF,03/21,2,10502,150,ASPH-G,HIGH,116,225,424,915,G
HRF,17/35,1,5200,75,ASPH-E,MED,40,53,,,G
HLN,09/27,4,9000,150,ASPH-G,HIGH,,160,250,420,G
HLN,05/23,4,4644,75,ASPH-F,MED,21,30,,,G
HLN,17/35,4,2989,75,ASPH-F,MED,,,,,G
HLN,10/28,4,1584,75,TURF,,,,,,
GPI,02/20,2,9007,150,ASPH-G,HIGH,115,198,321,,G
GPI,12/30,2,3510,75,ASPH-G,MED,25,40,,,G
LWT,03/21,3,5600,101,ASPH-P,,12,80,120,,P
LWT,08/26,3,6100,100,ASPH-G,MED,40,55,95,,G
LWT,13/31,3,4102,62,ASPH-G,MED,12,,,,G
MLS,04/22,2,5764,75,ASPH-E,MED,24,24,,,G
MLS,13/31,2,5624,100,ASPH-G,MED,38,55,85,,G
MSO,08/26,2,4612,75,ASPH-F,MED,30,50,,,G
MSO,12/30,2,9501,150,ASPH-G,HIGH,145,170,255,,G
8S1,18/36,2,4194,75,ASPH-G,MED,17,,,,G
8S1,03W/21W,2,4000,500,WATER,,,,,,
7S0,16/34,1,4798,75,ASPH-E,MED,,,,,G
SDY,01/19,2,5705,100,ASPH-G,MED,46,61,109,,G
SDY,11/29,2,4024,100,ASPH-G,MED,12,18,,,G
32S,12/30,1,3809,75,ASPH-G,MED,12,,,,G
RVF,07/25,2,2866,100,TURF-DIRT-G,,,,,,
RVF,17/35,2,6000,60,ASPH-G,MED,60,78,99,,G
WYS,01/19,1,8400,150,ASPH-G,HIGH,90,150,280,,G
FET,14/32,1,6353,100,CONC-G,MED,28,48,,,G
EAR,13/31,2,4498,75,CONC-E,MED,30,38,,,G
EAR,18/36,2,7094,100,CONC-E,HIGH,46,62,,,G
LNK,18/36,3,12901,200,ASPH-CONC-F,HIGH,100,200,400,,G
LNK,17/35,3,5801,100,ASPH-G,MED,45,59,,,G
LNK,14/32,3,8649,150,ASPH-F,MED,80,170,280,,G
LBF,12/30,2,8001,150,CONC-E,HIGH,75,110,190,,G
LBF,17/35,2,4436,100,CONC-E,MED,28,48,86,,G
OMA,14L/32R,3,8500,150,CONC-E,HIGH,100,209,345,,G
OMA,14R/32L,3,9502,150,CONC-E,HIGH,100,184,346,,G
OMA,18/36,3,8154,150,CONC-E,HIGH,150,175,260,,G
BFF,05/23,2,8002,150,ASPH-G,MED,98,158,285,,G
BFF,12/30,2,8279,150,ASPH-G,HIGH,109,178,321,,G
SNY,03/21,2,4705,75,TURF-G,,,,,,F
SNY,13/31,2,6600,100,CONC-G,HIGH,32,52,96,,G
BAM,04/22,4,7300,150,ASPH-G,MED,30,125,,,F
BAM,13/31,4,7299,100,ASPH-F,MED,30,104,,,P
BAM,H1,4,60,60,CONC-G,PERI,,,,,
BAM,H2,4,60,60,CONC-G,,,,,,
BVU,15/33,2,3852,75,ASPH-G,MED,12,,,,G
BVU,09/27,2,5103,75,ASPH-G,MED,12,,,,G
CXP,09/27,1,6101,75,ASPH-E,MED,30,60,,,G
EKO,12/30,2,3015,60,ASPH-G,,12,,,,G
EKO,06/24,2,7454,150,ASPH-G,MED,78,105,170,,G
ELY,12/30,2,4825,60,ASPH-G,MED,15,,,,G
ELY,18/36,2,6017,150,ASPH-E,HIGH,70,85,130,,G
INS,08/26,2,9002,150,ASPH,MED,,,,,
INS,13/31,2,5476,100,ASPH,,,,,,
VGT,12L/30R,3,4199,75,ASPH-G,MED,30,,,,G
VGT,07/25,3,5005,75,ASPH-G,MED,30,,,,G
VGT,12R/30L,3,5000,75,ASPH-G,MED,30,,,,G
HND,17R/35L,2,6501,100,ASPH-E,MED,30,60,,,G
HND,17L/35R,2,5001,75,ASPH-E,MED,30,30,,,G
LAS,08L/26R,4,14515,150,CONC-G,HIGH,100,250,504,1014,G
LAS,01R/19L,4,9771,150,CONC-G,MED,120,250,550,1120,G
LAS,01L/19R,4,8988,150,CONC-G,HIGH,120,250,550,1120,G
LAS,08R/26L,4,10526,150,CONC-E,HIGH,120,250,633,1120,G
LOL,02/20,2,5529,75,ASPH-G,MED,30,,,,G
LOL,08/26,2,4931,75,ASPH-G,,17,,,,G
MEV,12/30,3,5299,75,ASPH-G,,50,75,,,G
MEV,12G/30G,3,2050,60,DIRT-G,,,,,,
MEV,16/34,3,7399,100,ASPH-E,HIGH,50,75,,,G
RNO,17L/35R,3,9000,150,CONC-G,HIGH,75,209,407,850,G
RNO,08/26,3,6102,150,CONC-G,MED,60,170,260,,G
RNO,17R/35L,3,11001,150,CONC-G,HIGH,75,185,350,850,G
RTS,08/26,2,7608,150,ASPH-E,HIGH,,,,,G
RTS,14/32,2,9000,150,ASPH-G,HIGH,,,,,G
EEN,02/20,2,6201,100,ASPH-E,HIGH,,60,,,G
EEN,14/32,2,4001,75,ASPH-E,MED,25,,,,G
ACY,H1,3,102,102,ASPH,,,,,,
ACY,13/31,3,10000,150,ASPH-G,HIGH,85,120,350,,G
ACY,04/22,3,6144,150,ASPH-CONC-G,HIGH,75,175,400,900,G
MMU,13/31,2,3997,150,ASPH-G,MED,30,,,,G
MMU,05/23,2,5998,150,ASPH-G,HIGH,30,80,,,G
WWD,01/19,2,5252,150,ASPH-G,HIGH,45,75,120,,G
WWD,10/28,2,5000,150,ASPH-G,MED,45,75,120,,G
ALM,17/35,2,3257,190,DIRT-F,,,,,,G
ALM,04/22,2,9207,150,ASPH-G,MED,54,74,120,,G
AEG,04/22,2,7398,100,ASPH-G,MED,30,,,,G
AEG,17/35,2,5983,100,ASPH-G,MED,30,,,,G
ABQ,03/21,3,10000,150,CONC-G,HIGH,100,210,360,720,G
ABQ,08/26,3,13793,150,CONC-G,HIGH,100,210,360,720,G
ABQ,12/30,3,6000,150,CONC-G,MED,65,120,155,,G
BRG,03/21,2,6601,60,ASPH-E,MED,12,,,,G
BRG,13/31,2,5280,75,ASPH-G,,,,,,G
CVN,08/26,3,2442,75,TURF-F,,,,,,
CVN,04/22,3,7200,150,ASPH-G,MED,45,57,,,G
CVN,12/30,3,5697,100,ASPH-G,MED,42,50,,,G
DMN,08/26,2,8018,75,ASPH-G,MED,20,,,,G
DMN,04/22,2,5675,60,ASPH-G,MED,12,,,,G
FMN,07/25,2,6704,100,ASPH-G,MED,50,90,,,G
FMN,05/23,2,6501,150,ASPH-E,MED,47,66,,,G
LVS,14/32,2,8199,75,ASPH-G,MED,20,,,,G
LVS,02/20,2,5006,75,ASPH-G,MED,20,,,,G
ROW,17/35,2,9999,100,ASPH-G,MED,77,104,165,,G
ROW,03/21,2,13001,150,CONC-E,MED,100,200,400,,G
SAF,02/20,3,8366,150,ASPH-F,MED,116,164,269,,G
SAF,10/28,3,6301,75,ASPH-G,,12,,,,G
SAF,15/33,3,6316,100,ASPH-E,MED,28,43,,,G
SVC,17/35,4,5473,75,DIRT-G,,,,,,
SVC,08/26,4,6803,100,ASPH-G,MED,75,100,,,G
SVC,12/30,4,4675,75,DIRT-G,,,,,,
SVC,03/21,4,4537,80,DIRT-F,,,,,,
SKX,04/22,2,5504,75,ASPH-G,MED,24,,,,G
SKX,13/31,2,8600,100,CONC-G,MED,60,,,,G
ITH,14/32,2,6977,150,ASPH-G,HIGH,100,192,574,1044,G
ITH,15/33,2,2018,50,TURF-E,,,,,,
PEO,01/19,2,5499,100,ASPH-G,MED,82,112,195,,G
PEO,10/28,2,3561,50,ASPH-G,LOW,12,,,,G
POU,06/24,3,5001,100,ASPH-E,HIGH,50,60,110,,G
POU,07/25,3,1357,100,TURF-G,,,,,,
POU,15/33,3,2743,100,ASPH-CONC-G,MED,35,45,80,,G
AVL,17/35,1,8002,150,ASPH-E,HIGH,120,219,404,837,G
JQF,02/20,1,7402,100,ASPH-G,HIGH,,129,,,G
GSO,14/32,3,6380,150,ASPH-F,HIGH,120,218,352,,G
GSO,05L/23R,3,9000,150,ASPH-F,HIGH,120,250,550,1120,G
GSO,05R/23L,3,10001,150,ASPH-G,HIGH,120,250,550,1051,G
MQI,17/35,2,3303,75,ASPH-G,MED,20,,,,G
MQI,05/23,2,4306,100,ASPH-E,MED,48,,,,G
EQY,05/23,1,7001,100,ASPH-E,HIGH,35,68,,,G
14A,14/32,1,3147,40,ASPH-G,MED,8,,,,G
SOP,05/23,1,6503,150,ASPH-G,HIGH,100,162,,,G
SVH,10/28,1,7003,100,ASPH-E,HIGH,30,100,,,G
BIS,03/21,2,6600,100,ASPH-G,HIGH,130,180,340,,G
BIS,13/31,2,8794,150,ASPH-CONC-G,HIGH,130,180,340,,G
DIK,07/25,2,4700,75,ASPH-G,MED,16,20,,,F
DIK,14/32,2,7301,150,CONC-E,HIGH,60,90,90,,G
FAR,18/36,3,9001,150,CONC-G,HIGH,100,200,400,,G
FAR,13/31,3,3801,75,CONC-G,MED,26,35,,,G
FAR,09/27,3,6302,100,CONC-G,MED,60,100,,,G
JMS,04/22,2,5750,75,ASPH-F,MED,85,103,162,,G
JMS,13/31,2,6502,100,ASPH-G,HIGH,130,160,250,,G
S25,12/30,1,6550,75,CONC-E,MED,78,98,186,,G
XWA,04/22,2,4502,75,CONC-E,MED,12,,,,G
XWA,14/32,2,7503,150,CONC-E,HIGH,120,195,339,,G
UNI,07/25,1,5600,100,ASPH-G,MED,56,82,,,F
LUK,03L/21R,3,3801,100,ASPH-F,MED,11,,,,F
LUK,03R/21L,3,6101,150,ASPH-E,HIGH,60,70,140,,G
LUK,07/25,3,5127,100,ASPH-F,MED,11,20,55,,F
DFI,12/30,1,4199,72,ASPH-F,MED,,,,,G
TOL,16/34,2,5599,150,ASPH-G,MED,100,174,300,,G
TOL,07/25,2,10600,150,ASPH-G,HIGH,100,174,300,550,G
ADH,13/31,3,2717,50,ASPH-CONC-P,,50,171,280,,F
ADH,18/36,3,6203,100,ASPH-G,MED,50,140,224,,G
ADH,H1,3,40,40,CONC-E,PERI,,,,,G
ADM,13/31,2,9002,150,CONC-G,HIGH,,,,,F
ADM,17/35,2,5404,100,ASPH-G,MED,36,,,,G
BVO,17/35,1,6850,100,CONC-G,MED,50,100,170,,G
6K4,17/35,1,4400,75,ASPH-CONC-G,MED,30,,,,G
OKC,13/31,4,7800,150,ASPH-CONC-F,MED,120,250,489,,G
OKC,17L/35R,4,9803,150,CONC-G,HIGH,120,250,550,,G
OKC,17R/35L,4,9801,150,CONC-G,HIGH,120,250,550,,G
OKC,18/36,4,3078,75,ASPH-G,,116,164,269,,G
RCE,17R/35L,2,6014,100,CONC-G,HIGH,40,60,,,G
RCE,17L/35R,2,3502,75,CONC-G,MED,17,,,,G
PNC,17/35,1,7201,100,CONC-G,HIGH,51,65,122,,G
TUL,08/26,3,7376,150,CONC-G,HIGH,75,200,350,,G
TUL,18L/36R,3,10000,150,CONC-E,HIGH,75,200,400,,G
TUL,18R/36L,3,6101,100,ASPH-G,HIGH,100,140,,,G
AST,08/26,2,5794,100,ASPH,MED,60,76,119,,G
AST,14/32,2,4467,100,ASPH-E,MED,60,76,119,,G
UAO,17/35,1,5003,100,ASPH-G,MED,30,45,,,G
BKE,08/26,3,3670,140,ASPH-F,,30,,,,F
BKE,13/31,3,5085,100,ASPH-G,MED,50,65,,,G
BKE,17/35,3,4359,75,ASPH-G,,30,,,,G
BDN,16/34,1,5201,75,ASPH-G,MED,30,,,,G
BNO,03/21,2,4600,60,CONC-G,MED,30,,,,G
BNO,12/30,2,5101,75,CONC-G,MED,30,50,90,,G
CVO,10/28,2,3100,75,ASPH-F,MED,51,65,100,,G
CVO,17/35,2,5900,150,ASPH-G,MED,35,73,100,,F
77S,16/34,1,3102,60,ASPH-F,MED,12,,,,G
EUG,16R/34L,2,8009,150,ASPH-G,HIGH,120,250,550,,G
EUG,16L/34R,2,6000,150,ASPH-G,HIGH,120,211,342,,G
4S2,07/25,1,3040,75,ASPH-E,MED,23,,,,G
GCD,17/35,2,5224,60,ASPH-G,MED,12,,,,F
GCD,09/27,2,4100,60,ASPH-G,MED,12,,,,G
LMT,07/25,2,5258,100,ASPH-G,MED,53,77,,,G
LMT,14/32,2,10302,150,ASPH-CONC-G,HIGH,107,175,315,,G
LGD,17/35,2,3400,75,ASPH-G,MED,45,60,100,,G
LGD,12/30,2,6261,100,ASPH-G,MED,65,90,130,,G
LKV,17/35,1,5318,100,ASPH-G,MED,74,86,,,G
MMV,17/35,2,4340,75,ASPH-E,,30,,,,P
MMV,04/22,2,5420,100,ASPH-E,HIGH,40,50,80,,G
S33,04/22,2,2701,50,ASPH-F,,16,,,,F
S33,16/34,2,5091,75,ASPH-G,MED,75,120,180,,G
MFR,14/32,1,8800,150,ASPH-G,HIGH,75,200,400,,G
ONP,02/20,2,3001,75,ASPH-G,MED,33,50,84,,G
ONP,16/34,2,5398,100,ASPH-G,HIGH,75,120,170,,G
OTH,05/23,2,5980,150,ASPH-G,HIGH,120,215,340,800,F
OTH,13/31,2,4470,150,ASPH-G,MED,120,190,305,735,G
ONO,15/33,1,5006,100,ASPH-F,MED,30,60,,,G
22S,13/31,1,4300,60,ASPH-G,LOW,,,,,G
PDT,08/26,2,6301,150,ASPH-F,HIGH,115,132,210,,G
PDT,11/29,2,4809,100,ASPH-G,MED,70,120,122,,G
HIO,13R/31L,3,6600,150,ASPH-G,HIGH,50,70,110,,G
HIO,02/20,3,3820,75,ASPH-G,MED,54,74,139,,F
HIO,13L/31R,3,3600,60,ASPH-E,MED,28,,,,G
PDX,10R/28L,3,11000,150,CONC-G,HIGH,200,200,360,,G
PDX,03/21,3,6000,150,ASPH-E,MED,120,250,380,,G
PDX,10L/28R,3,9825,150,ASPH-E,HIGH,200,200,400,,G
S39,15/33,2,4053,40,ASPH-P,LOW,5,,,,G
S39,11/29,2,5405,75,ASPH-G,MED,30,,,,G
RDM,H1,3,48,48,CONC,,,,,,
RDM,05/23,3,7038,150,ASPH-G,HIGH,120,216,399,,G
RDM,11/29,3,7006,100,ASPH-G,MED,109,178,,,G
REO,03/21,1,6000,150,GRAVEL-F,,,,,,
RBG,16/34,1,5003,100,ASPH-G,MED,42,54,88,,F
SLE,16/34,3,5146,100,ASPH-G,MED,39,52,,,G
SLE,13/31,3,5811,150,ASPH-G,HIGH,105,147,,,G
