Dep_Airport_ID,Schedules
UNV,ALL/ALL/ALL
AIK,ALL/ALL/0600-1800
JZI,ALL/ALL/0600-2200
CHS,ALL/ALL/ALL
CUB,ALL/ALL/0600-2200
GMU,ALL/MON-FRI/0600-2100
GMU,ALL/SAT-SUN/0700-2000
GYH,ALL/ALL/0600-1900
HXD,ALL/ALL/0600-2200
ABR,ALL/MON-FRI/0330-2400L
HON,ALL/ALL/0700-SS
PIR,ALL/MON-FRI/0500-2400
PIR,ALL/SAT-SUN/0500-2200
RAP,ALL/ALL/ALL
FSD,ALL/ALL/ALL
SPF,ALL/ALL/0730-DUSK
YKN,ALL/MON-FRI/0800-1700
TRI,ALL/ALL/ALL
CHA,ALL/ALL/ALL
RZR,ALL/ALL/0700-1800
M29,UNATNDD
M02,ALL/ALL/0800-1800
HZD,ALL/MON-SAT/0800-1700
HZD,ALL/SUN/1300-1700
MKL,ALL/MON-FRI/0600-2030
MKL,ALL/SAT-SUN/0700-1930
DKX,ALL/ALL/0700-2200
TYS,ALL/ALL/ALL
M54,"OCT - FEB/ALL/0700-1700"
M54,"MAR - SEP/ALL/0700-1900"
MNV,ALL/ALL/0900-1700
NQA,ALL/MON-FRI/0730-0200
NQA,ALL/SAT-SUN/0700-1900
BNA,ALL/ALL/ALL
JWN,ALL/ALL/ALL
PHT,ALL/MON-SAT/0800-1630
ABI,ALL/ALL/ALL
AMA,ALL/ALL/ALL
AUS,ALL/ALL/ALL
BMT,ALL/ALL/0700-1900
BEA,UNATNDD
BPG,ALL/MON-FRI/0800-1700
XBP,ALL/MON-FRI/0700-1600
CDS,ALL/ALL/0900-1700
CLL,ALL/ALL/0600-2200
CRP,ALL/ALL/ALL
ADS,ALL/ALL/0600-2200
DAL,ALL/ALL/ALL
LUD,ALL/ALL/0800-1700
DTO,ALL/ALL/0600-2200
ELP,ALL/ALL/ALL
BKS,NOV-FEB/ALL/0900-1700
BKS,MAR-OCT/MON-FRI/0900-1600
FTW,ALL/ALL/ALL
AFW,ALL/ALL/ALL
T82,ALL/MON-FRI/0800-1700
GTU,ALL/ALL/0700-1900
GVT,ALL/SUN-THU/0730-1700
GVT,ALL/FRI-SAT/0730-1800
DZB,ALL/ALL/0700-1900
EFD,ALL/ALL/ALL
IAH,ALL/ALL/ALL
TME,ALL/ALL/ALL
HOU,ALL/ALL/ALL
CXO,ALL/MON-FRI/0800-1700
CXO,ALL/SAT-SUN/0800-1600
AQO,ALL/TUE-THU/0800-1700
AQO,ALL/FRI-MON/0700-1700
GGG,ALL/ALL/0600-2100
LBB,ALL/ALL/ALL
T31,UNATNDD
MRF,ALL/ALL/0800-1600
MAF,ALL/ALL/ALL
MWL,ALL/ALL/0600-2000
ODO,ALL/ALL/0600-2000
SJT,ALL/ALL/0600-2200
SSF,ALL/ALL/0700-2200
SAT,ALL/ALL/ALL
GNC,ALL/MON-FRI/0800-1800
GNC,ALL/SAT/0800-1200
SWI,ALL/ALL/0800-1700
TRL,ALL/ALL/0800-2000
UVA,ALL/ALL/0700-1900
F05,ALL/MON-SAT/0800-1700
VCT,ALL/MON-FRI/0600-2000
VCT,ALL/SAT/0600-2000
VCT,ALL/SUN/0600-1800
ACT,ALL/ALL/0430-2400
SPS,ALL/ALL/ALL
BTF,"APR - SEP/MON-FRI/0800-1800"
BTF,"ALL/SUN/0800 - 1300"
BTF,"OCT - MAR/SAT/0800-1700"
BTF,"OCT - MAR/MON-FRI/0800-1700"
BTF,"APR - SEP/SAT/0800-1800"
CDC,ALL/ALL/DALGT
DPG,ALL/MON-THU/1400-2400Z++
CNY,MAR-OCT/ALL/0700-1900
CNY,NOV-FEB/ALL/0800-1700
HIF,ALL/MON-SAT/1500-0700Z++
HIF,ALL/SAT-SUN/1600-0000Z++
OGD,ALL/ALL/ALL
PUC,NOV-MAR/MON-SAT/0800-1700
PUC,APRIL-OCT/MON-SUN/0800-1800
PVU,NOV-MAY/ALL/0600-2100
PVU,JUN-OCT/ALL/0600-2200
RIF,ALL/ALL/0800-1700
SGU,ALL/ALL/0600-2400
U42,ALL/ALL/0700-2100
SLC,ALL/ALL/ALL
VEL,ALL/ALL/DAWN-DUSK
ENV,ALL/ALL/0800-1800
RMN,ALL/ALL/0800-1800
HSP,ALL/ALL/0900-1700
JYO,ALL/ALL/0500-2000
JFZ,ALL/MON-SAT/0800-1700
RIC,ALL/ALL/ALL
ROA,ALL/ALL/ALL
74S,UNATNDD
AWO,ALL/M-F/0800-1700
BLI,ALL/ALL/ALL
S97,UNATNDD
BVS,ALL/ALL/0700-1900
DEW,APR-OCT/ALL/0800-1700
DEW,NOV-MAR/ALL/1000-1600
PAE,MAY-OCT/ALL/0700-2100
PAE,NOV-APR/ALL/0700-2100
FHR,ALL/MON-FRI/0800-1700
MWH,ALL/ALL/ALL
OLM,ALL/ALL/0800-1800
PSC,ALL/ALL/0800-2000
CLM,ALL/ALL/0900-1930
PUW,ALL/ALL/0800-1800
RNT,ALL/ALL/0700-DUSK
BFI,ALL/ALL/ALL
GEG,ALL/ALL/ALL
SFF,ALL/ALL/0600-2000
TCM,ALL/ALL/ALL
TIW,ALL/ALL/0700-1600
VUO,APR-OCT/ALL/0800-1800
VUO,NOV-MAR/ALL/0800-1700
ALW,ALL/ALL/0800-1800
EAT,ALL/ALL/0800-1800
S52,UNATNDD
YKM,"ALL/ALL/0600 - 2000"
MRB,OCT-APR/ALL/0700-1900
MRB,MAY-SEPT/ALL/0700-1900
I18,ALL/ALL/0800-1600
ATW,ALL/ALL/ALL
GRB,ALL/ALL/0500-2200
ENW,ALL/ALL/0700-2100
LSE,ALL/ALL/0600-2100
MWC,ALL/MON-FRI/0600-2100
MWC,ALL/SAT-SUN/0700-2100
C35,ALL/ALL/0800-1600
SUE,ALL/SUN/1000-1700
SUE,ALL/MON-SAT/0700-1700
Y51,UNATNDD
46U,UNATNDD
CPR,ALL/ALL/ALL
CYS,ALL/ALL/0600-2200
COD,ALL/ALL/0500-2300
EVW,ALL/ALL/0700-1900
GCC,ALL/ALL/0500-2400
GEY,UNATNDD
JAC,ALL/ALL/0700-2130
LND,ALL/ALL/0600-1600
LAR,ALL/ALL/0500-2100
RKS,ALL/ALL/0400-2200
SAA,DEC-MAR/ALL/0800-1600
SAA,APR-NOV/ALL/0800-1700
SHR,ALL/ALL/DALGT
