Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
CIC,039-47-43.4000N,121-51-30.3000W,AIRPORT,Y-L,13L/31R,3,6724,150,ASPH-G,HIGH,63,100,170,,G
CNO,033-58-29.2100N,117-38-11.3400W,AIRPORT,Y-L,08L/26R,3,4858,150,ASPH-G,HIGH,12,,,,G
CNO,033-58-29.2100N,117-38-11.3400W,AIRPORT,Y-L,08R/26L,3,7000,150,ASPH-G,MED,75,150,215,,G
CNO,033-58-29.2100N,117-38-11.3400W,AIRPORT,Y-L,03/21,3,4919,150,ASPH-G,MED,21,130,,50,G
O22,038-01-49.5000N,120-24-52.4000W,AIRPORT,Y-L,17/35,2,4673,75,ASPH-G,MED,30,,,,F
CEC,041-46-48.6000N,124-14-11.5000W,AIRPORT,Y-L,12/30,2,5002,150,ASPH-F,HIGH,30,43,,,F
CEC,041-46-48.6000N,124-14-11.5000W,AIRPORT,Y-L,18/36,2,5000,150,ASPH-F,MED,30,43,,,F
DAG,034-51-13.4000N,116-47-12.1000W,AIRPORT,Y-L,08/26,2,6402,150,ASPH-F,MED,30,170,320,,F
DAG,034-51-13.4000N,116-47-12.1000W,AIRPORT,Y-L,04/22,2,5123,100,ASPH-F,MED,30,105,190,,F
EMT,034-05-09.6300N,118-02-05.4400W,AIRPORT,Y-L,01/19,1,3995,75,ASPH-G,MED,12,,,,G
FOT,040-33-14.1900N,124-07-57.5600W,AIRPORT,Y-L,11/29,1,4004,100,ASPH-G,MED,30,,,,F
FAT,036-46-35.6000N,119-43-07.8000W,AIRPORT,Y-L,11L/29R,2,9539,150,ASPH-G,HIGH,70,170,250,,G
FAT,036-46-35.6000N,119-43-07.8000W,AIRPORT,Y-L,11R/29L,2,8008,150,ASPH-G,MED,70,170,250,,G
FUL,033-52-19.2500N,117-58-47.2200W,AIRPORT,Y-L,06/24,2,3121,75,ASPH-G,MED,12,,,,G
HAF,037-30-48.4000N,122-30-04.2000W,AIRPORT,Y-L,12/30,1,5000,150,ASPH-CONC-F,MED,30,200,360,,G
HMT,033-44-02.5000N,117-01-20.3000W,AIRPORT,Y-L,05/23,2,4315,100,ASPH-G,MED,80,130,,,G
WJF,034-44-27.8000N,118-13-07.1000W,AIRPORT,Y-L,06/24,1,7201,150,ASPH-G,MED,50,68,117,,G
LHM,038-54-33.0000N,121-21-04.8000W,AIRPORT,Y-L,15/33,2,6001,100,ASPH-G,MED,30,60,,,G
LVK,037-41-36.2000N,121-49-13.3000W,AIRPORT,Y-L,07L/25R,3,5253,100,ASPH-E,HIGH,45,90,,,G
LVK,037-41-36.2000N,121-49-13.3000W,AIRPORT,Y-L,07R/25L,3,2699,75,ASPH-E,MED,12,,,,G
