Loc Id,Facility Type,Wind Indicator,Runway Id,Length,Width,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,Schedule,Schedule,,
ENN,AIRPORT,Y-L,04R/22L,1980,80,TURF-G,MED,,,,,F,UNATTND,UNATTND,,
ENN,AIRPORT,Y-L,04W/22W,3601,100,WATER,,,,,,G,UNATTND,UNATTND,,
OME,AIRPORT,Y,10/28,6009,150,ASPH-G,HIGH,150,150,320,,G,ALL/ALL/0700-2100,ALL,ALL,0700-2100
OME,AIRPORT,Y,03/21,6176,150,ASPH-G,MED,,150,,,G,ALL/ALL/0700-2100,ALL,ALL,0700-2100
NUL,AIRPORT,Y-L,03/21,4011,100,GRAVEL-G,MED,,,,,,UNATNDD,UNATNDD,,
PSG,AIRPORT,Y-L,05/23,6400,150,ASPH-G,HIGH,75,160,,,F,OCT-MAR/ALL/0500-1600,OCT-MAR,ALL,0500-1600
PSG,AIRPORT,Y-L,05/23,6400,150,ASPH-G,HIGH,75,160,,,F,APR-SEP/MON-FRI/0600-1630,APR-SEP,MON-FRI,0600-1630
PSG,AIRPORT,Y-L,05/23,6400,150,ASPH-G,HIGH,75,160,,,F,APR-SEP/SAT-SUN/0830-1630,APR-SEP,SAT-SUN,0830-1630
TAL,AIRPORT,Y-L,07/25,4400,100,GRAVEL-G,MED,,,,,,UNATNDD,UNATNDD,,
SDP,AIRPORT,Y-L,14/32,5213,150,ASPH-G,MED,120,250,,,G,JAN - DEC/MON - SAT/0800-1600,JAN - DEC,MON - SAT,0800-1600
SIT,AIRPORT,Y-L,11/29,7200,150,ASPH-G,HIGH,100,160,300,,F,ALL/ALL/,ALL,ALL,
SXQ,AIRPORT,Y-L,07/25,5001,130,ASPH-F,MED,12,,,,G,ALL/ALL/0700-1600,ALL,ALL,0700-1600
SXQ,AIRPORT,Y-L,07S/25S,2300,60,GRVL-DIRT-F,,,,,,P,ALL/ALL/0700-1600,ALL,ALL,0700-1600
