Dep_Airport_ID,Schedules,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
O32,ALL/MON-FRI/0800-1530,16/34,1,3300,60,ASPH-E,MED,12,,,,G
SMF,ALL/ALL/ALL,17L/35R,2,8605,150,CONC-G,HIGH,120,239,439,961,G
SMF,ALL/ALL/ALL,17R/35L,2,8598,150,CONC-G,HIGH,120,239,439,961,G
MHR,ALL/TUE-FRI/0300-2330,04L/22R,4,6081,150,ASPH-G,MED,90,105,190,,G
MHR,ALL/SAT/0300-2100,04L/22R,4,6081,150,ASPH-G,MED,90,105,190,,G
MHR,ALL/SUN/0500-2100,04L/22R,4,6081,150,ASPH-G,MED,90,105,190,,G
MHR,ALL/MON/0500-2330,04L/22R,4,6081,150,ASPH-G,MED,90,105,190,,G
MHR,ALL/TUE-FRI/0300-2330,04R/22L,4,11301,150,ASPH-CONC-G,HIGH,160,280,500,,G
MHR,ALL/SAT/0300-2100,04R/22L,4,11301,150,ASPH-CONC-G,HIGH,160,280,500,,G
MHR,ALL/SUN/0500-2100,04R/22L,4,11301,150,ASPH-CONC-G,HIGH,160,280,500,,G
MHR,ALL/MON/0500-2330,04R/22L,4,11301,150,ASPH-CONC-G,HIGH,160,280,500,,G
SAC,ALL/ALL/0800-1600,12/30,3,3837,100,ASPH-G,MED,30,43,67,,G
SAC,ALL/ALL/0800-1600,02/20,3,5503,150,ASPH-G,MED,60,130,210,,G
MCC,ALL/ALL/ALL,16/34,5,10599,150,CONC-G,HIGH,155,300,500,,G
SNS,ALL/ALL/ALL,08/26,3,6004,150,ASPH-G,MED,25,32,62,,G
SNS,ALL/ALL/ALL,13/31,3,4825,150,ASPH-G,HIGH,65,100,170,,G
SBD,ALL/MON-SUN/0700-2100,06/24,1,10000,200,CONC-E,HIGH,97,265,890,960,G
SAN,ALL/ALL/ALL,09/27,1,9401,200,ASPH-CONC-E,HIGH,100,150,250,720,G
SFO,ALL/ALL/ALL,10R/28L,4,11381,200,ASPH-G,HIGH,75,200,400,877,G
SFO,ALL/ALL/ALL,01L/19R,4,7650,200,ASPH-G,HIGH,75,200,400,877,G
SFO,ALL/ALL/ALL,01R/19L,4,8650,200,ASPH-G,HIGH,75,200,400,877,G
SFO,ALL/ALL/ALL,10L/28R,4,11870,200,ASPH-G,HIGH,75,200,400,877,G
SJC,ALL/ALL/ALL,12L/30R,2,11000,150,CONC-G,HIGH,220,250,605,,G
SJC,ALL/ALL/ALL,12R/30L,2,11000,150,CONC-G,HIGH,220,250,605,875,G
SBP,ALL/ALL/0600-1700,07/25,2,2500,100,ASPH-G,,12,12,,,G
SBP,ALL/ALL/0600-1700,11/29,2,6101,150,ASPH-G,HIGH,112,147,,,G
SNA,ALL/ALL/ALL,02L/20R,3,5700,150,ASPH-G,HIGH,70,200,300,,G
SNA,ALL/ALL/ALL,02R/20L,3,2886,75,ASPH-G,MED,25,60,,,G
SBA,ALL/ALL/0600-2300,15R/33L,3,4184,100,ASPH-G,MED,48,63,100,,G
SBA,ALL/ALL/0600-2300,07/25,3,6052,150,ASPH-G,HIGH,110,160,245,,G
SBA,ALL/ALL/0600-2300,15L/33R,3,4180,75,ASPH-G,,35,41,63,,G
SMX,ALL/ALL/0600-2200,12/30,2,8004,150,ASPH-G,HIGH,75,181,400,,G
SMX,ALL/ALL/0600-2200,02/20,2,5199,75,ASPH-G,,70,90,150,,G
STS,ALL/ALL/0600-2200,02/20,2,5202,100,ASPH-G,MED,109,154,254,,G
STS,ALL/ALL/0600-2200,14/32,2,6000,150,ASPH-G,HIGH,120,184,300,,G
MIT,ALL/MON-FRI/0800-1700,08/26,3,3680,60,ASPH-G,,125,,,,G
MIT,ALL/MON-FRI/0800-1700,12/30,3,4501,100,ASPH-G,MED,22,,,,G
MIT,ALL/MON-FRI/0800-1700,17/35,3,2972,100,CONC-G,,25,30,,,G
TVL,"ALL/ /0700-1600",18/36,1,8541,100,ASPH-E,MED,70,125,210,,G
SCK,ALL/ALL/ALL,11L/29R,3,10249,150,ASPH-G,HIGH,40,150,360,650,G
