,Loc Id,ARP Latitude,ARP Longitude
250,JER,042-43-36.0600N,114-27-23.9300W
251,TWF,042-28-54.5100N,114-29-15.8500W
252,SMN,045-07-23.8000N,113-52-53.2000W
253,LWS,046-22-28.1900N,117-00-55.4300W
254,MYL,044-53-19.4800N,116-06-06.3100W
255,MAN,043-34-52.8300N,116-31-23.0300W
256,PIH,042-54-35.2500N,112-35-45.3100W
257,U10,042-06-24.9700N,111-54-45.2500W
258,SZT,048-17-58.3000N,116-33-36.5000W
259,SPI,039-50-40.6100N,089-40-39.1700W
260,RFD,042-11-43.3000N,089-05-50.0000W
261,DPA,041-54-25.3900N,088-14-52.7800W
262,PIA,040-39-51.1000N,089-41-35.7000W
263,MLI,041-26-53.5500N,090-30-27.9700W
264,CPS,038-34-13.3000N,090-09-18.3000W
265,UGN,042-25-19.7300N,087-52-04.5000W
266,BAK,039-15-42.8900N,085-53-46.8200W
267,EVV,038-02-26.9000N,087-31-42.6000W
268,GYY,041-37-02.1000N,087-24-52.3000W
269,IND,039-43-02.3000N,086-17-40.7000W
270,HFY,039-37-39.4000N,086-05-16.9000W
271,LAF,040-24-44.3000N,086-56-12.8000W
272,RID,039-45-21.9000N,084-50-33.7000W
273,AAO,037-44-51.2700N,097-13-16.0200W
274,GCK,037-55-39.1000N,100-43-27.9000W
275,HUT,038-03-58.1600N,097-51-37.7600W
276,LBL,037-02-38.1200N,100-57-35.8900W
277,IAB,037-37-23.2200N,097-16-03.4700W
278,EWK,038-03-25.5700N,097-16-30.8200W
279,TOP,039-04-07.7600N,095-37-20.5500W
280,ICT,037-38-59.8300N,097-25-58.9500W
281,PAH,037-03-37.0400N,088-46-22.6500W
282,SJS,037-45-03.6700N,082-38-12.0700W
283,BWG,036-57-52.3000N,086-25-10.8000W
284,FFT,038-10-54.2300N,084-54-24.3000W
285,GLW,037-01-54.4000N,085-57-13.5200W
286,LOZ,037-05-12.8000N,084-04-38.6000W
287,2I0,037-21-21.3400N,087-23-53.5900W
288,M25,036-46-10.7000N,088-35-04.8000W
289,IOB,038-03-29.3000N,083-58-46.5000W
290,EKQ,036-51-19.0000N,084-51-22.1000W
291,HUM,029-33-59.4100N,090-39-37.5400W
292,LFT,030-12-18.1000N,091-59-15.9000W
293,NEW,030-02-32.7000N,090-01-41.7000W
294,MLU,032-30-38.0000N,092-02-10.0800W
295,SHV,032-26-47.4600N,093-49-33.7400W
296,TVR,032-21-05.8000N,091-01-39.6800W
297,AQW,042-41-46.5100N,073-10-13.9900W
298,OWD,042-11-25.9000N,071-10-22.6000W
299,BWI,039-10-32.6200N,076-40-08.3700W
300,FDK,039-25-01.2800N,077-22-29.0400W
301,BGR,044-48-26.8000N,068-49-41.3000W
302,RKD,044-03-36.5100N,069-05-58.8100W
303,SFM,043-23-37.7000N,070-42-28.8000W
304,LAN,042-46-43.1000N,084-35-10.3000W
305,TVC,044-44-29.6800N,085-34-54.7300W
306,GLR,045-00-46.9000N,084-42-12.4000W
307,OZW,042-37-45.9400N,083-58-55.9000W
308,OSC,044-27-05.5000N,083-23-39.0000W
309,PLN,045-34-15.3000N,084-47-48.2000W
310,SAW,046-20-56.9700N,087-23-46.9400W
311,LWA,042-21-04.7800N,086-15-20.6600W
312,AIT,046-32-54.4600N,093-40-35.8800W
313,ANE,045-08-41.6000N,093-12-36.7000W
314,AUM,043-39-45.5000N,092-55-58.5000W
315,BJI,047-30-38.6000N,094-56-05.0000W
316,BRD,046-24-15.2000N,094-08-01.7000W
317,COQ,046-42-04.0000N,092-30-12.8000W
318,DLH,046-50-31.4500N,092-11-35.6500W
319,ELO,047-49-26.4500N,091-49-45.5500W
320,INL,048-33-56.1200N,093-24-07.8500W
321,FCM,044-49-39.0300N,093-27-30.8600W
322,GPZ,047-12-33.4200N,093-30-35.8000W
323,MKT,044-13-22.0000N,093-55-09.5000W
324,MSP,044-52-55.1000N,093-13-18.4000W
325,HIB,047-23-11.6700N,092-50-20.3200W
326,TWM,047-02-56.9000N,091-44-42.8000W
327,RST,043-54-29.8000N,092-30-00.1000W
328,SGS,044-51-25.7000N,093-01-58.3000W
329,STP,044-56-04.6400N,093-03-37.2300W
330,RRT,048-56-29.3000N,095-20-54.5000W
331,M17,037-35-45.9800N,093-20-51.7100W
332,BBG,036-31-55.5000N,093-12-01.9600W
333,CGI,037-13-31.1000N,089-34-14.7000W
334,MKC,039-07-22.6000N,094-35-34.2000W
335,TKX,036-13-33.1000N,090-02-11.9100W
336,IRK,040-05-36.5000N,092-32-41.7000W
337,AIZ,038-05-45.7000N,092-32-58.1000W
338,MBY,039-27-47.4100N,092-25-33.2000W
339,VIH,038-07-38.7500N,091-46-10.2500W
340,SIK,036-53-56.0000N,089-33-42.3000W
341,SGF,037-14-44.4000N,093-23-19.1000W
342,GTR,033-26-53.8000N,088-35-29.0000W
343,HEZ,031-36-49.1800N,091-17-50.4100W
344,JAN,032-18-40.2000N,090-04-33.2000W
345,MEI,032-19-57.4000N,088-45-06.7000W
346,HSA,030-22-04.1000N,089-27-16.6100W
347,UOX,034-23-03.6000N,089-32-12.5000W
348,VKS,032-14-20.9000N,090-55-41.5000W
349,BHK,046-20-47.8000N,104-15-29.2000W
350,BTM,045-57-17.3000N,112-29-50.9000W
351,6S0,045-48-23.3200N,109-58-41.7200W
352,BIL,045-48-28.2600N,108-32-36.7600W
353,BZN,045-46-38.0500N,111-09-00.9400W
354,CTB,048-36-30.0800N,112-22-34.1400W
355,38S,046-23-16.2000N,112-45-53.8000W
356,DLN,045-15-19.3000N,112-33-09.0000W
357,MLS,046-25-36.7900N,105-53-17.6100W
358,GPI,048-18-37.8000N,114-15-21.6000W
359,GTF,047-28-56.2800N,111-22-13.0100W
360,HLN,046-36-24.2000N,111-58-59.8000W
361,LWT,047-02-57.3000N,109-28-00.1000W
362,LTY,048-30-38.6000N,110-59-27.1100W
363,MSO,046-54-58.7000N,114-05-26.0000W
364,8S1,047-41-43.6000N,114-11-07.0000W
365,HRF,046-15-25.8000N,114-07-25.8400W
366,7S0,047-34-01.8000N,114-06-03.9000W
367,RVF,045-32-07.5000N,112-18-08.2000W
368,SDY,047-42-24.7000N,104-11-33.2000W
369,8S0,048-36-03.6000N,113-06-55.1000W
370,32S,046-31-30.4000N,114-03-10.1000W
371,6S3,045-37-49.8900N,109-14-21.1700W
372,WYS,044-41-18.2000N,111-07-03.5000W
373,AVL,035-26-10.0100N,082-32-31.3700W
374,EQY,035-01-02.7000N,080-37-19.4000W
375,JQF,035-23-15.9700N,080-42-32.8800W
376,MQI,035-55-08.3400N,075-41-43.9300W
377,14A,035-36-49.9300N,080-53-57.9500W
378,SOP,035-14-14.7200N,079-23-20.5200W
379,GSO,036-06-04.7800N,079-56-28.0400W
380,SVH,035-45-54.0000N,080-57-14.0000W
381,BIS,046-46-21.8400N,100-44-44.6600W
382,DIK,046-48-01.7000N,102-48-15.9700W
383,FAR,046-55-14.3000N,096-48-56.7000W
384,JMS,046-55-47.0000N,098-40-41.5000W
385,S25,047-47-34.8000N,103-14-57.6700W
386,XWA,048-15-35.2200N,103-45-02.0000W
387,OMA,041-18-11.4000N,095-53-38.6000W
388,FET,041-26-59.8000N,096-31-16.3000W
389,EAR,040-43-37.3500N,099-00-24.3700W
390,LNK,040-51-03.2100N,096-45-32.8400W
391,LBF,041-07-34.3700N,100-41-01.1500W
392,SNY,041-05-59.1400N,102-59-05.9800W
393,BFF,041-52-26.5000N,103-35-44.3000W
394,EEN,042-53-54.2000N,072-16-14.8000W
395,ACY,039-27-27.3000N,074-34-37.8000W
396,WWD,039-00-30.1300N,074-54-30.6300W
397,MMU,040-47-57.6200N,074-24-53.6000W
398,ALM,032-50-21.9000N,105-59-28.1000W
399,ABQ,035-02-20.1500N,106-36-29.7400W
400,BRG,034-38-45.1000N,106-50-10.8200W
401,CVN,034-25-35.7200N,103-04-39.2900W
402,DMN,032-15-44.6000N,107-43-08.4000W
403,AEG,035-08-41.6700N,106-47-42.6300W
404,FMN,036-44-28.5000N,108-13-47.7900W
405,SVC,032-38-11.5700N,108-09-22.9900W
406,LVS,035-39-15.2000N,105-08-32.6000W
407,ROW,033-17-59.5300N,104-31-45.8300W
408,SAF,035-37-01.6000N,106-05-21.9000W
409,SKX,036-27-06.1000N,105-40-23.1000W
410,BAM,040-35-56.6000N,116-52-27.6000W
411,BVU,035-56-50.3100N,114-51-39.9000W
412,CXP,039-11-32.3000N,119-43-57.2500W
413,INS,036-35-10.8400N,115-40-38.5300W
414,LOL,040-03-59.2800N,118-33-54.3100W
415,EKO,040-49-30.0000N,115-47-28.8000W
416,ELY,039-17-58.8800N,114-50-30.7600W
417,LAS,036-04-48.1600N,115-09-08.0400W
418,HND,035-58-22.2800N,115-08-03.7800W
419,MEV,039-00-01.8000N,119-45-04.0000W
420,VGT,036-12-38.5300N,115-11-40.0000W
421,RTS,039-40-05.4400N,119-52-35.1800W
422,RNO,039-29-56.8000N,119-46-05.2000W
423,POU,041-37-35.7100N,073-53-03.0800W
424,ITH,042-29-28.9000N,076-27-31.4000W
425,PEO,042-38-13.5000N,077-03-10.3000W
426,LUK,039-06-12.0000N,084-25-07.0000W
427,DFI,041-20-15.0000N,084-25-43.7000W
428,TOL,041-35-12.5400N,083-48-28.1800W
429,UNI,039-12-42.8100N,082-13-45.3200W
430,ADH,034-48-15.3400N,096-40-16.3200W
431,ADM,034-18-13.9400N,097-01-14.1500W
432,BVO,036-45-48.1000N,096-00-40.3000W
433,RCE,035-29-17.1000N,097-49-24.8000W
434,6K4,036-17-28.3000N,098-28-32.9000W
435,PNC,036-43-55.0400N,097-05-59.2200W
436,TUL,036-11-54.2200N,095-53-17.1800W
437,OKC,035-23-35.0700N,097-36-02.7400W
438,AST,046-09-28.7000N,123-52-43.0000W
439,UAO,045-14-49.7000N,122-46-12.2000W
440,BKE,044-50-14.4000N,117-48-32.9000W
441,BDN,044-05-40.4200N,121-12-00.8000W
442,BNO,043-35-30.8600N,118-57-19.5700W
443,DLS,045-37-09.6800N,121-10-05.7900W
444,CVO,044-29-48.7500N,123-17-22.0500W
445,LMT,042-09-22.1200N,121-43-59.5400W
446,PDT,045-41-42.3400N,118-50-36.1300W
447,GCD,044-24-10.7400N,118-58-03.7900W
448,77S,043-55-50.7000N,123-00-24.0000W
449,4S2,045-40-22.0000N,121-32-01.9100W
450,LGD,045-17-20.6800N,118-00-22.0500W
451,LKV,042-09-40.0000N,120-23-56.7000W
452,S33,044-40-12.5900N,121-09-18.5400W
453,EUG,044-07-28.5000N,123-12-43.1000W
454,MMV,045-11-40.4000N,123-08-09.8000W
455,SLE,044-54-34.3000N,123-00-09.0000W
456,ONP,044-34-49.3000N,124-03-28.5000W
457,ONO,044-01-09.7000N,117-00-46.9000W
458,22S,042-43-04.7000N,120-33-46.0000W
459,HIO,045-32-31.6400N,122-57-02.6000W
460,PDX,045-35-19.3500N,122-35-48.7300W
461,S39,044-17-16.2800N,120-54-19.7900W
462,RDM,044-15-14.6500N,121-08-59.9000W
463,MFR,042-22-29.8700N,122-52-23.8400W
464,REO,042-34-39.5800N,117-53-07.5500W
465,RBG,043-14-21.6100N,123-21-21.0700W
466,SPB,045-46-15.7000N,122-51-42.6000W
467,OTH,043-25-01.0000N,124-14-49.3000W
468,S21,043-52-34.7300N,121-27-10.9900W
469,TMK,045-25-05.7000N,123-48-51.8000W
470,AGC,040-21-15.9800N,079-55-44.5700W
471,CXY,040-13-01.7000N,076-51-04.9000W
