Loc Id,Facility Type,Runway Id,Length,Width,Surface Type Condition,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Schedule
DMN,AIRPORT,H1,60,60,CONC-G,0.0,0.0,0.0,0.0,ALL/MON-FRI/0730-1700
AEG,AIRPORT,07/25,7003,152,ASPH,0.0,0.0,0.0,0.0,IREG
FMN,AIRPORT,07/25,4000,40,DIRT-F,0.0,0.0,0.0,0.0,UNATNDD
SVC,AIRPORT,10/28,6000,100,ASPH-G,53.0,93.0,160.0,0.0,ALL/ALL/ALL
LVS,AIRPORT,H1,80,80,CONC,0.0,0.0,0.0,0.0,UNATNDD
ROW,AIRPORT,H1,46,46,CONC,0.0,0.0,0.0,0.0,IREG
SAF,AIRPORT,H1,50,50,ASPH-CONC,0.0,0.0,0.0,0.0,UNATNDD
SKX,AIRPORT,03/21,3340,45,ASPH-G,0.0,0.0,0.0,0.0,UNATNDD
BAM,AIRPORT,03/21,5200,200,DIRT,0.0,0.0,0.0,0.0,UNATNDD
BVU,AIRPORT,01/19,2681,140,DIRT-GRVL-F,0.0,0.0,0.0,0.0,ALL/MON-SAT/0800-DUSK
CXP,AIRPORT,H1,40,40,CONC,0.0,0.0,0.0,0.0,ALL/MON-FRI/0700-1700
INS,AIRPORT,18/36,2000,60,GRVL,0.0,0.0,0.0,0.0,ALL/MON-SAT/0800-1800
LOL,AIRPORT,10/28,2000,40,ASPH,0.0,0.0,0.0,0.0,UNATNDD
EKO,AIRPORT,15/33,2500,300,TURF,0.0,0.0,0.0,0.0,ALL/SAT-SUN/UNATNDD
ELY,AIRPORT,H1,60,60,TURF,0.0,0.0,0.0,0.0,UNATNDD
LAS,AIRPORT,H1,33,33,TURF,0.0,0.0,0.0,0.0,UNATNDD
HND,AIRPORT,H1,33,33,TURF-G,0.0,0.0,0.0,0.0,ALL/ALL/DALGT
MEV,AIRPORT,H1,48,48,TURF-G,0.0,0.0,0.0,0.0,UNATNDD
VGT,AIRPORT,02/20,2105,121,ASPH-TURF-E,0.0,0.0,0.0,0.0,UNATNDD
RTS,AIRPORT,02/20,6201,100,ASPH-E,0.0,60.0,0.0,0.0,UNATNDD
RNO,AIRPORT,14/32,4001,75,ASPH-E,25.0,0.0,0.0,0.0,ALL/MON-THU/0700-1900
POU,AIRPORT,H1,30,30,TURF,0.0,0.0,0.0,0.0,UNATNDD
ITH,AIRPORT,14/32,2000,100,TURF,0.0,0.0,0.0,0.0,ALL/ALL/ALL
PEO,AIRPORT,04/22,5598,50,ASPH-TURF,0.0,0.0,0.0,0.0,UNATNDD
LUK,AIRPORT,12/30,3840,50,DIRT-G,0.0,0.0,0.0,0.0,ALL/ALL/0600-2200
DFI,AIRPORT,H1,30,30,CONC-GRVL,0.0,0.0,0.0,0.0,MAR-OCT/THU-SUN/1100-DUSK
TOL,AIRPORT,09/27,2800,75,TURF,0.0,0.0,0.0,0.0,UNATNDD
UNI,AIRPORT,NE/SW,15000,1500,WATER,0.0,0.0,0.0,0.0,UNATNDD
ADH,AIRPORT,15/33,11820,200,ASPH-G,100.0,240.0,500.0,0.0,UNATNDD
ADM,AIRPORT,05/23,6573,150,ASPH-G,40.0,73.0,115.0,0.0,UNATNDD
BVO,AIRPORT,02/20,1600,54,TURF,0.0,0.0,0.0,0.0,UNATNDD
RCE,AIRPORT,H1,55,55,MATS,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1730
6K4,AIRPORT,H1,40,28,CONC,0.0,0.0,0.0,0.0,UNATNDD
PNC,AIRPORT,18/36,1700,75,TURF,0.0,0.0,0.0,0.0,IREG
TUL,AIRPORT,12/30,1600,100,TURF,0.0,0.0,0.0,0.0,UNATNDD
OKC,AIRPORT,18/36,1900,100,TURF-F,0.0,0.0,0.0,0.0,UNATNDD
AST,AIRPORT,05/23,7001,100,ASPH-E,35.0,68.0,0.0,0.0,UNATNDD
UAO,AIRPORT,14/32,3147,40,ASPH-G,8.0,0.0,0.0,0.0,ALL/ALL/ALL
BKE,AIRPORT,H1,25,25,CONC,0.0,0.0,0.0,0.0,UNATNDD
BDN,AIRPORT,03/21,2074,85,TURF,0.0,0.0,0.0,0.0,ALL/SAT/0800-1600
BNO,AIRPORT,04/22,6452,150,ASPH-G,80.0,123.0,0.0,0.0,ALL/ALL/ALL
DLS,AIRPORT,H1,35,35,CONC,0.0,0.0,0.0,0.0,UNATNDD
CVO,AIRPORT,14/32,1600,125,TURF,0.0,0.0,0.0,0.0,UNATNDD
LMT,AIRPORT,03/21,5500,75,ASPH-G,25.0,0.0,0.0,0.0,ALL/ALL/ALL
PDT,AIRPORT,09/27,1800,35,TURF,0.0,0.0,0.0,0.0,ALL/MON-FRI/0900-1700
GCD,AIRPORT,03/21,3400,80,TURF,0.0,0.0,0.0,0.0,UNATNDD
77S,AIRPORT,17/35,1300,60,TURF,0.0,0.0,0.0,0.0,UNATNDD
