tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration
N548LM,18-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Ketchikan Intl (KTN / PAKT),"Ketchikan Intl (Ketchikan, AK) - KTN / PAKT",02:39AM AKDT,04:17AM AKDT,1:37
N548LM,18-Aug-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",12:48AM AKDT,01:40AM AKDT,0:52
N548LM,17-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",10:47PM AKDT,11:45PM AKDT,0:58
N548LM,17-Aug-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",04:29AM AKDT,05:25AM AKDT,0:56
N548LM,17-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",01:47AM AKDT,02:48AM AKDT,1:00
N548LM,16-Aug-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",07:39PM AKDT,08:36PM AKDT,0:57
N548LM,16-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",05:08PM AKDT,06:24PM AKDT,1:16
N548LM,16-Aug-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:01AM AKDT,11:58AM AKDT,0:57
N548LM,16-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",08:10AM AKDT,09:08AM AKDT,0:57
N548LM,16-Aug-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",01:51AM AKDT,02:47AM AKDT,0:56
N548LM,16-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",12:09AM AKDT,01:08AM AKDT,0:59
N548LM,15-Aug-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:02PM AKDT,09:57PM AKDT,0:55
N548LM,15-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",07:01PM AKDT,07:57PM AKDT,0:55
N548LM,12-Aug-2022,LJ31,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:28AM AKDT,04:12AM AKDT,0:44
N548LM,12-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",01:27AM AKDT,02:05AM AKDT,0:38
