tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration
N542LM,15-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",01:29AM AKDT,05:41AM PDT,3:12
N542LM,14-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",11:21PM AKDT,12:04AM AKDT (+1),0:42
N542LM,14-Jun-2022,LJ35,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:38PM AKDT,10:34PM AKDT,0:56
N542LM,14-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",07:11PM AKDT,08:22PM AKDT,1:11
N542LM,14-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",11:48AM AKDT,12:30PM AKDT,0:42
N542LM,14-Jun-2022,LJ35,Wiley Post-Will Rogers (BRW / PABR),"Wiley Post-Will Rogers (Utqiagvik, AK) - BRW / PABR",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:15AM AKDT,10:55AM AKDT,1:39
N542LM,14-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Wiley Post-Will Rogers (BRW / PABR),"Wiley Post-Will Rogers (Utqiagvik, AK) - BRW / PABR",04:34AM AKDT,06:13AM AKDT,1:38
N542LM,14-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:14AM AKDT,03:53AM AKDT,0:39
N542LM,13-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",11:05AM AKDT,11:56AM AKDT,0:51
N542LM,13-Jun-2022,LJ35,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:56AM AKDT,09:53AM AKDT,0:57
N542LM,13-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",06:38AM AKDT,07:50AM AKDT,1:11
N542LM,13-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",02:11AM AKDT,02:50AM AKDT,0:38
N542LM,12-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:48PM AKDT,12:32AM AKDT (+1),0:43
N542LM,11-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",08:46PM AKDT,09:28PM AKDT,0:42
N542LM,11-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",06:30PM AKDT,07:09PM AKDT,0:38
N542LM,11-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",05:25AM AKDT,06:05AM AKDT,0:40
N542LM,11-Jun-2022,LJ35,Nome (OME / PAOM),"Nome (Nome, AK) - OME / PAOM",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:07AM AKDT,03:16AM AKDT,1:08
N542LM,10-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Nome (OME / PAOM),"Nome (Nome, AK) - OME / PAOM",10:38PM AKDT,11:51PM AKDT,1:13
N542LM,10-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",09:04PM AKDT,09:42PM AKDT,0:38
N542LM,10-Jun-2022,LJ35,Gulkana (GKN / PAGK),"Gulkana (Gulkana, AK) - GKN / PAGK",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",06:25PM AKDT,06:58PM AKDT,0:33
N542LM,10-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Gulkana (GKN / PAGK),"Gulkana (Gulkana, AK) - GKN / PAGK",05:13PM AKDT,05:50PM AKDT,0:36
N542LM,10-Jun-2022,LJ35,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",07:32AM PDT,09:42AM AKDT,3:10
N542LM,10-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",01:29AM AKDT,05:41AM PDT,3:11
N542LM,09-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:50PM AKDT,12:27AM AKDT (+1),0:37
N542LM,09-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",12:43AM AKDT,01:22AM AKDT,0:38
N542LM,08-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:44PM AKDT,11:23PM AKDT,0:39
N542LM,08-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",06:53PM AKDT,07:30PM AKDT,0:37
N542LM,08-Jun-2022,LJ35,St Paul Island (SNP / PASN),"St Paul Island (St Paul Island, AK) - SNP / PASN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:19PM AKDT,05:02PM AKDT,1:43
N542LM,08-Jun-2022,LJ35,St Paul Island (SNP / PASN),"St Paul Island (St Paul Island, AK) - SNP / PASN",King Salmon (PAKN),"King Salmon (King Salmon, AK) - PAKN",03:19PM AKDT,,Diverted
N542LM,08-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",St Paul Island (SNP / PASN),"St Paul Island (St Paul Island, AK) - SNP / PASN",12:15PM AKDT,02:19PM AKDT,2:04
N542LM,07-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",09:22AM AKDT,10:01AM AKDT,0:39
N542LM,07-Jun-2022,LJ35,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",06:50AM AKDT,07:50AM AKDT,1:00
N542LM,07-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",04:25AM AKDT,05:19AM AKDT,0:53
N542LM,07-Jun-2022,LJ35,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",01:54AM AKDT,02:50AM AKDT,0:55
N542LM,06-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",10:57PM AKDT,12:06AM AKDT (+1),1:09
N542LM,06-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",08:08PM AKDT,08:46PM AKDT,0:38
N542LM,06-Jun-2022,LJ35,Juneau Intl (JNU / PAJN),"Juneau Intl (Juneau, AK) - JNU / PAJN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:09PM AKDT,06:20PM AKDT,1:10
N542LM,06-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Juneau Intl (JNU / PAJN),"Juneau Intl (Juneau, AK) - JNU / PAJN",02:22PM AKDT,03:51PM AKDT,1:29
N542LM,06-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",03:06AM AKDT,03:46AM AKDT,0:39
N542LM,06-Jun-2022,LJ35,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",12:57AM AKDT,01:53AM AKDT,0:55
N542LM,05-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",11:05PM AKDT,12:14AM AKDT (+1),1:09
N542LM,05-Jun-2022,LJ35,Elmendorf Afb (EDF / PAED),"Elmendorf Afb (Anchorage, AK) - EDF / PAED",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",09:46PM AKDT,10:24PM AKDT,0:38
N542LM,05-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Elmendorf Afb (EDF / PAED),"Elmendorf Afb (Anchorage, AK) - EDF / PAED",08:13PM AKDT,08:51PM AKDT,0:38
N542LM,05-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",12:56AM AKDT,01:35AM AKDT,0:39
N542LM,04-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:57PM AKDT,11:36PM AKDT,0:39
N542LM,04-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",10:36AM AKDT,11:15AM AKDT,0:38
N542LM,04-Jun-2022,LJ35,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:26AM AKDT,09:20AM AKDT,0:54
N542LM,04-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",05:58AM AKDT,07:07AM AKDT,1:08
N542LM,03-Jun-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",09:47PM AKDT,10:23PM AKDT,0:36
N542LM,03-Jun-2022,LJ35,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:18PM AKDT,09:13PM AKDT,0:55
N542LM,03-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",05:54PM AKDT,07:04PM AKDT,1:10
N542LM,03-Jun-2022,LJ35,Snohomish County (KPAE),"Snohomish County (Everett, WA) - KPAE",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",01:55PM PDT,04:01PM AKDT,3:06
N542LM,03-Jun-2022,LJ35,Mcchord Fld (Joint Base Lewis-Mcchord) (KTCM),"Mcchord Fld (Joint Base Lewis-Mcchord) (Tacoma, WA) - KTCM",Snohomish County (KPAE),"Snohomish County (Everett, WA) - KPAE",12:02AM PDT,12:25AM PDT,0:22
N542LM,03-Jun-2022,LJ35,Mcchord Fld (Joint Base Lewis-Mcchord) (KTCM),"Mcchord Fld (Joint Base Lewis-Mcchord) (Tacoma, WA) - KTCM",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",12:02AM PDT,,Diverted
N542LM,02-Jun-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Mcchord Fld (Joint Base Lewis-Mcchord) (KTCM),"Mcchord Fld (Joint Base Lewis-Mcchord) (Tacoma, WA) - KTCM",06:36PM AKDT,10:57PM PDT,3:21
N542LM,29-May-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",07:34AM AKDT,08:12AM AKDT,0:37
N542LM,29-May-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:25AM AKDT,06:04AM AKDT,0:38
N545LM,27-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",09:58AM AKST,01:11PM AKST,3:12
N545LM,26-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",06:51PM AKST,09:08PM AKST,2:16
N545LM,25-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",01:01PM AKST,04:07PM AKST,3:05
N545LM,25-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:14AM AKST,10:46AM AKST,2:32
N545LM,24-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",11:36AM AKST,02:41PM AKST,3:05
N545LM,24-Jan-2023,BE20,Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:56AM AKST,10:32AM AKST,0:35
N545LM,24-Jan-2023,BE20,Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",09:56AM AKST,,Diverted
N545LM,24-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",09:16AM AKST,09:50AM AKST,0:33
N545LM,23-Jan-2023,BE20,Soldotna (SXQ / PASX),"Soldotna (Soldotna, AK) - SXQ / PASX",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:12PM AKST,10:30PM AKST,0:18
N545LM,23-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Soldotna (SXQ / PASX),"Soldotna (Soldotna, AK) - SXQ / PASX",08:12PM AKST,08:30PM AKST,0:18
N545LM,23-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",01:53PM AKST,04:28PM AKST,2:35
N545LM,23-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",09:39AM AKST,12:34PM AKST,2:55
N545LM,22-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:10PM AKST,07:56PM AKST,2:45
N545LM,22-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",01:09PM AKST,03:52PM AKST,2:42
N545LM,21-Jan-2023,BE20,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:29PM AKST,11:52PM AKST,1:22
N545LM,21-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",05:48PM AKST,07:28PM AKST,1:40
N545LM,21-Jan-2023,BE20,Kodiak (PADQ),"Kodiak (Kodiak, AK) - PADQ",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:09PM AKST,03:10PM AKST,1:01
N545LM,21-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kodiak (PADQ),"Kodiak (Kodiak, AK) - PADQ",10:43AM AKST,11:40AM AKST,0:57
N545LM,20-Jan-2023,BE20,St Paul Island (SNP / PASN),"St Paul Island (St Paul Island, AK) - SNP / PASN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:14PM AKST,05:41PM AKST,2:26
N545LM,20-Jan-2023,BE20,Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",St Paul Island (SNP / PASN),"St Paul Island (St Paul Island, AK) - SNP / PASN",12:44PM AKST,02:21PM AKST,1:36
N545LM,20-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",09:48AM AKST,12:14PM AKST,2:25
N545LM,19-Jan-2023,BE20,Sand Point (SDP / PASD),"Sand Point (Sand Point, AK) - SDP / PASD",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:25PM AKST,05:19PM AKST,1:54
N545LM,19-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Sand Point (SDP / PASD),"Sand Point (Sand Point, AK) - SDP / PASD",02:06PM AKST,03:04PM AKST (?),0:58
N545LM,18-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",01:10PM AKST,03:59PM AKST,2:49
N545LM,18-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:18AM AKST,11:57AM AKST,2:39
N545LM,13-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",03:16PM AKST,05:57PM AKST,2:40
N545LM,13-Jan-2023,BE20,St Paul Island (SNP / PASN),"St Paul Island (St Paul Island, AK) - SNP / PASN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:29AM AKST,02:06PM AKST,2:37
N545LM,13-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",St Paul Island (SNP / PASN),"St Paul Island (St Paul Island, AK) - SNP / PASN",10:14AM AKST,11:10AM AKST,0:56
N545LM,13-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",St Paul Island (SNP / PASN),"St Paul Island (St Paul Island, AK) - SNP / PASN",10:11AM AKST,11:08AM AKST (?),0:57
N545LM,12-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",03:38PM AKST,06:25PM AKST,2:47
N545LM,12-Jan-2023,BE20,King Cove (KVC / PAVC),"King Cove (King Cove, AK) - KVC / PAVC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",01:00PM AKST,03:09PM AKST,2:09
N545LM,12-Jan-2023,BE20,Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",King Cove (KVC / PAVC),"King Cove (King Cove, AK) - KVC / PAVC",12:18PM AKST,12:24PM AKST,0:05
N545LM,12-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",09:40AM AKST,11:56AM AKST,2:15
N545LM,12-Jan-2023,BE20,Homer (HOM / PAHO),"Homer (Homer, AK) - HOM / PAHO",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:38AM AKST,03:04AM AKST,0:26
N545LM,12-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Homer (HOM / PAHO),"Homer (Homer, AK) - HOM / PAHO",12:47AM AKST,01:16AM AKST (?),0:29
N545LM,11-Jan-2023,BE20,Kodiak (PADQ),"Kodiak (Kodiak, AK) - PADQ",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:00PM AKST,09:56PM AKST,0:56
N545LM,11-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kodiak (PADQ),"Kodiak (Kodiak, AK) - PADQ",06:34PM AKST,07:38PM AKST,1:04
N545LM,11-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",07:41AM AKST,09:59AM AKST,2:17
N545LM,09-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",07:57AM AKST,10:40AM AKST,2:43
N545LM,09-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:27AM AKST,06:14AM AKST,2:46
N545LM,06-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",03:16PM AKST,06:09PM AKST,2:53
N545LM,06-Jan-2023,BE20,King Cove (KVC / PAVC),"King Cove (King Cove, AK) - KVC / PAVC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:17AM AKST,01:15PM AKST,1:57
N545LM,06-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",King Cove (KVC / PAVC),"King Cove (King Cove, AK) - KVC / PAVC",10:03AM AKST,10:46AM AKST (?),0:43
N545LM,04-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",09:50AM AKST,12:37PM AKST,2:46
N545LM,03-Jan-2023,BE20,Nelson Lagoon (OUL / PAOU),"Nelson Lagoon (Nelson Lagoon, AK) - OUL / PAOU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",06:16PM AKST,08:05PM AKST,1:48
N545LM,03-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Nelson Lagoon (OUL / PAOU),"Nelson Lagoon (Nelson Lagoon, AK) - OUL / PAOU",05:00PM AKST,05:56PM AKST (?),0:56
N545LM,02-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",07:52AM AKST,10:30AM AKST,2:37
N545LM,02-Jan-2023,BE20,Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:39AM AKST,04:53AM AKST,2:14
N545LM,02-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",01:16AM AKST,02:07AM AKST,0:50
N545LM,01-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",03:27PM AKST,06:10PM AKST,2:42
N545LM,01-Jan-2023,BE20,Akutan (7AK / PAUT),"Akutan (Akutan, AK) - 7AK / PAUT",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:17AM AKST,01:48PM AKST,2:30
N545LM,01-Jan-2023,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Akutan (7AK / PAUT),"Akutan (Akutan, AK) - 7AK / PAUT",10:42AM AKST,10:51AM AKST (?),0:09
N545LM,31-Dec-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",02:53PM AKST,05:37PM AKST,2:44
N545LM,31-Dec-2022,BE20,Scammon Bay (SCM / PACM),"Scammon Bay (Scammon Bay, AK) - SCM / PACM",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:25AM AKST,04:17AM AKST,1:52
N545LM,31-Dec-2022,BE20,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Scammon Bay (SCM / PACM),"Scammon Bay (Scammon Bay, AK) - SCM / PACM",12:45AM AKST,01:21AM AKST,0:35
N545LM,30-Dec-2022,BE20,Hooper Bay (HPB / PAHP),"Hooper Bay (Hooper Bay, AK) - HPB / PAHP",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",10:52PM AKST,11:33PM AKST,0:40
