Site Id,Loc Id,ICAO Id,State Id,Sequence,Schedule
00640.3*A,BXK,KBXK,AZ,2,UNATNDD
00640.49*H,22AZ,,AZ,1,ALL/ALL/ALL
00640.51*A,A20,,AZ,1,ALL/ALL/0700-1800
00640.52*A,1AZ8,,AZ,1,UNATNDD
00640.53*A,A09,,AZ,1,ALL/ALL/0800-1700
00640.5*A,IFP,KIFP,AZ,1,ALL/ALL/ALL
00642.71*A,19AZ,,AZ,1,UNATNDD
00642.72*H,01AZ,,AZ,1,UNATNDD
00642.81*A,33AZ,,AZ,1,ALL/ALL/ALL
00642.86*H,AZ91,,AZ,1,UNATNDD
00642.871*H,AZ52,,AZ,1,UNATNDD
00642.872*H,AZ51,,AZ,1,UNATNDD
00642.87*A,18AZ,,AZ,1,ALL/ALL/0800-1600
00642.9*A,CGZ,KCGZ,AZ,1,ALL/ALL/0600-1600
00645.11*A,P19,,AZ,1,UNATNDD
00645.13*H,AZ87,,AZ,1,ALL/ALL/ALL
00647.01*H,AZ76,,AZ,1,ALL/ALL/ALL
00648.01*H,AZ77,,AZ,1,ALL/ALL/ALL
00648.*A,CHD,KCHD,AZ,2,ALL/SAT-SUN/0500-1530
00648.*A,CHD,KCHD,AZ,1,ALL/MON-FRI/0500-1700
00653.01*A,E91,,AZ,1,UNATNDD
00653.5*A,59AZ,,AZ,1,ALL/IREG/IREG
00655.*A,Z95,,AZ,1,UNATNDD
00658.4*A,AZ66,,AZ,1,IREG/IREG/IREG
00658.*A,CFT,KCFT,AZ,1,UNATTENDED
00660.7*A,AZC,KAZC,AZ,1,ALL/MON-SAT/0800-1800
00662.3*A,37AZ,,AZ,1,ALL/MON-FRI/0800-1700
00662.*A,P08,,AZ,1,ALL/MON-FRI/0800-1700
00665.1*H,AZ22,,AZ,1,ALL/ALL/ALL
00665.2*G,AZ86,,AZ,1,ALL/SAT-SUN/1000-1800
00665.*A,P52,,AZ,1,ALL/ALL/0800-1700
00666.61*U,AZ00,,AZ,1,OCT-APR/ALL/ALL
00670.1*A,AZ17,,AZ,1,UNATNDD
00670.2*A,P03,,AZ,1,ALL/MON-FRI/0630-1630
00670.*A,DGL,KDGL,AZ,1,ALL/MON-FRI/0700-1800
00671.*A,DUG,KDUG,AZ,1,ALL/MON-FRI/0800-1700
00672.54*A,E60,,AZ,1,ALL/ALL/0700-1600
00674.02*H,AZ23,,AZ,1,UNATNDD
00674.04*H,3AZ0,,AZ,1,ALL/ALL/ALL
00674.*A,FLG,KFLG,AZ,2,ALL/ALL/ALL
00682.3*A,5AZ9,,AZ,1,ALL/MON-THU/0830-1600
00682.*A,FHU,KFHU,AZ,1,ALL/MON-FRI/1400-2230Z
00687.1*A,E63,,AZ,1,UNATNDD
00688.*A,GAX,KGAX,AZ,1,0/0/0
00689.*A,GXF,KGXF,AZ,1,ALL/ALL/DURG SKED RNG PERIODS ONLY
00690.02*H,06AZ,,AZ,1,UNATNDD
00690.*H,3AZ1,,AZ,1,UNATNDD
00692.1*U,AZ79,,AZ,1,UNATNDD
00692.21*A,GEU,KGEU,AZ,1,ALL/ALL/0630-1930
00692.22*H,77AZ,,AZ,1,UNATNDD
00692.25*A,LUF,KLUF,AZ,1,ALL/MON-THU/1330-0530Z
00692.25*A,LUF,KLUF,AZ,2,ALL/FRI/1330-0130Z
00694.*A,P13,,AZ,1,UNATNDD
00696.01*H,AZ55,,AZ,1,UNATNDD
00696.02*H,AZ53,,AZ,1,UNATNDD
