,Loc Id,Facility Type,Wind Indicator,ARP Latitude DD,ARP Longitude DD,Runway Id,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,ICAO Id,#Runway Id
3974,2IS,AIRPORT,Y-L,26.73517083,-81.05106,13/31,ASPH-G,MED,79,116,,,F,,1
3975,2FD7,HELIPORT,Y,28.43556139,-81.4731275,H2,CONC,,,,,,,,3
3976,2FD7,HELIPORT,Y,28.43556139,-81.4731275,H3,CONC,,,,,,,,3
3977,2FD7,HELIPORT,Y,28.43556139,-81.4731275,H1,CONC,PERI,,,,,,,3
3978,82FA,HELIPORT,,30.48861,-86.19166778,H1,CONC,,,,,,,,1
3979,SPG,AIRPORT,Y-L,27.76511389,-82.62697389,18/36,ASPH-E,MED,60,105,190,,G,KSPG,2
3980,SPG,AIRPORT,Y-L,27.76511389,-82.62697389,07/25,ASPH-E,MED,60,105,190,,G,KSPG,2
3981,0FL2,SEAPLANE BASE,Y-L,28.78776944,-81.16422778,05W/23W,WATER,,,,,,,,1
3982,87FL,AIRPORT,Y,26.73298611,-81.57104167,09/27,TURF-G,,,,,,,,1
3983,92FA,HELIPORT,Y,29.90139583,-81.41355472,H1,CONC,PERI,,,,,G,,1
3984,1FL1,HELIPORT,Y,28.31214167,-81.46593611,H1,WOOD,,,,,,,,1
3985,6FL8,AIRPORT,N,29.58755556,-82.87125,18/36,TURF-G,,,,,,,,1
3986,18FA,HELIPORT,Y,27.23733333,-80.69216389,H1,CONC-F,,,,,,,,1
3987,FD40,HELIPORT,Y,27.27194444,-80.68166667,H1,CONC,,,,,,,,1
3988,15FA,HELIPORT,Y-L,27.21583611,-80.68486667,H1,CONC,FLD,,,,,,,1
3989,39FD,AIRPORT,,29.72939167,-83.35347083,18/36,TURF,,,,,,,,1
3990,FL52,AIRPORT,Y,30.48103056,-84.08683333,01/19,TURF,,,,,,,,1
3991,FD08,AIRPORT,Y,26.46535139,-80.14976667,09/27,TURF,LOW,,,,,,,1
3992,AAF,AIRPORT,Y-L,29.72754944,-85.0273775,14/32,CONC-F,MED,,,,,G,KAAF,3
3993,AAF,AIRPORT,Y-L,29.72754944,-85.0273775,18/36,CONC-F,,,,,,G,KAAF,3
3994,AAF,AIRPORT,Y-L,29.72754944,-85.0273775,06/24,CONC-F,MED,,,,,G,KAAF,3
3995,5FD5,HELIPORT,,28.68833333,-81.55432778,H1,CONC-F,,,,,,,,1
3996,X06,AIRPORT,Y-L,27.19531806,-81.8382275,14/32,TURF-G,,,,,,F,,2
3997,X06,AIRPORT,Y-L,27.19531806,-81.8382275,06/24,ASPH-F,MED,,,,,F,,2
3998,FA57,HELIPORT,,29.53416667,-82.52444444,H1,ASPH,PERI,,,,,,,1
3999,3FD5,HELIPORT,Y,28.52312222,-81.38019167,H1,CONC,PERI,,,,,,,1
4000,1FA6,HELIPORT,,28.10502778,-82.48266667,H1,TURF-DIRT,,,,,,,,1
4001,X21,AIRPORT,Y-L,28.62255167,-80.83540972,04/22,TURF-G,,,,,,G,,2
4002,X21,AIRPORT,Y-L,28.62255167,-80.83540972,15/33,ASPH-G,MED,12,,,,G,,2
